City/Town,Ward,Pct,"Cynthia Stone Creem","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Brookline,-,1,"1,318",6,231,"1,555"
Brookline,-,2,828,4,127,959
Brookline,-,3,"1,397",2,218,"1,617"
Brookline,-,4,"1,211",4,197,"1,412"
Brookline,-,5,"1,387",0,303,"1,690"
Brookline,-,6,"1,478",4,232,"1,714"
Brookline,-,7,"1,360",13,213,"1,586"
Brookline,-,8,"1,378",6,207,"1,591"
Brookline,-,9,"1,345",2,214,"1,561"
Brookline,-,10,"1,476",4,201,"1,681"
Brookline,-,11,"1,415",3,245,"1,663"
Brookline,-,12,"1,628",4,303,"1,935"
Brookline,-,13,"1,392",5,272,"1,669"
Brookline,-,14,"1,378",14,327,"1,719"
Brookline,-,15,"1,237",4,413,"1,654"
Brookline,-,16,"1,196",5,300,"1,501"
Newton,1,1,863,12,261,"1,136"
Newton,1,2,"1,119",13,185,"1,317"
Newton,1,3,"1,085",11,197,"1,293"
Newton,1,4,918,21,322,"1,261"
Newton,2,1,"1,053",16,289,"1,358"
Newton,2,2,753,5,196,954
Newton,2,3,"1,232",10,286,"1,528"
Newton,2,4,"1,219",15,279,"1,513"
Newton,3,1,"1,131",16,273,"1,420"
Newton,3,2,"1,155",9,286,"1,450"
Newton,3,3,"1,028",16,360,"1,404"
Newton,3,4,"1,047",18,283,"1,348"
Newton,4,1,991,14,275,"1,280"
Newton,4,2,"1,013",30,222,"1,265"
Newton,4,3,709,7,189,905
Newton,4,4,911,13,306,"1,230"
Newton,5,1,"1,018",25,251,"1,294"
Newton,5,2,"1,128",6,241,"1,375"
Newton,5,3,"1,324",11,308,"1,643"
Newton,5,4,"1,304",15,266,"1,585"
Newton,6,1,967,11,278,"1,256"
Newton,6,2,"1,183",17,235,"1,435"
Newton,6,3,"1,275",15,255,"1,545"
Newton,6,4,"1,300",12,270,"1,582"
Newton,7,1,911,23,264,"1,198"
Newton,7,2,"1,299",17,281,"1,597"
Newton,7,3,355,6,67,428
Newton,7,4,527,4,147,678
Newton,8,1,"1,191",14,371,"1,576"
Newton,8,2,"1,037",27,313,"1,377"
Newton,8,3,"1,118",25,329,"1,472"
Newton,8,4,689,10,198,897
Wellesley,-,A,"1,340",6,476,"1,822"
Wellesley,-,C,"1,166",14,643,"1,823"
Wellesley,-,D,"1,496",19,500,"2,015"
Wellesley,-,E,"1,213",13,442,"1,668"
Wellesley,-,H,"1,235",13,519,"1,767"
TOTALS,,,"60,727",609,"14,866","76,202"
