City/Town,Ward,Pct,"Mark C. Montigny","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acushnet,-,1,959,38,272,"1,269"
Acushnet,-,2,"1,105",9,410,"1,524"
Acushnet,-,3,"1,136",9,359,"1,504"
Dartmouth,-,1,"1,128",8,476,"1,612"
Dartmouth,-,2,455,3,565,"1,023"
Dartmouth,-,3,158,0,10,168
Dartmouth,-,4,"1,125",7,354,"1,486"
Dartmouth,-,5,"1,281",9,402,"1,692"
Dartmouth,-,6,958,6,241,"1,205"
Dartmouth,-,7,"1,194",5,411,"1,610"
Dartmouth,-,8,"1,607",10,425,"2,042"
Dartmouth,-,9,"1,617",13,498,"2,128"
Fairhaven,-,1,982,19,289,"1,290"
Fairhaven,-,2,915,20,245,"1,180"
Fairhaven,-,3,712,15,202,929
Fairhaven,-,4,883,16,266,"1,165"
Fairhaven,-,5,940,23,356,"1,319"
Fairhaven,-,6,870,24,340,"1,234"
Mattapoisett,-,1,"2,704",46,"1,047","3,797"
"New Bedford",1,A,791,14,182,987
"New Bedford",1,B,666,9,189,864
"New Bedford",1,C,651,16,207,874
"New Bedford",1,D,718,11,228,957
"New Bedford",1,E,691,9,123,823
"New Bedford",1,F,710,22,226,958
"New Bedford",2,A,159,7,21,187
"New Bedford",2,B,389,11,73,473
"New Bedford",2,C,296,13,70,379
"New Bedford",2,D,430,5,122,557
"New Bedford",2,E,610,12,136,758
"New Bedford",2,F,519,12,132,663
"New Bedford",3,A,278,5,47,330
"New Bedford",3,B,334,6,44,384
"New Bedford",3,C,335,3,60,398
"New Bedford",3,D,437,5,105,547
"New Bedford",3,E,723,16,159,898
"New Bedford",3,F,674,18,150,842
"New Bedford",4,A,356,4,41,401
"New Bedford",4,B,620,11,99,730
"New Bedford",4,C,609,8,118,735
"New Bedford",4,D,524,8,78,610
"New Bedford",4,E,478,9,110,597
"New Bedford",4,F,523,11,67,601
"New Bedford",5,A,394,3,81,478
"New Bedford",5,B,675,17,132,824
"New Bedford",5,C,541,20,138,699
"New Bedford",5,D,811,16,126,953
"New Bedford",5,E,878,18,228,"1,124"
"New Bedford",5,F,875,18,205,"1,098"
"New Bedford",6,A,621,14,181,816
"New Bedford",6,B,578,8,135,721
"New Bedford",6,C,246,10,45,301
"New Bedford",6,D,201,1,44,246
"New Bedford",6,E,325,5,72,402
"New Bedford",6,F,444,9,73,526
TOTALS,,,"39,839",664,"11,415","51,918"
