City/Town,Ward,Pct,"Sonia Rosa Chang-DÍaz","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,3,7,"2,058",26,298,"2,382"
Boston,4,1,"1,090",7,170,"1,267"
Boston,4,3,738,11,104,853
Boston,4,4,"1,025",15,127,"1,167"
Boston,8,1,619,5,69,693
Boston,8,2,"1,168",24,196,"1,388"
Boston,8,3,485,8,56,549
Boston,8,4,294,3,22,319
Boston,8,5,521,10,101,632
Boston,8,6,183,4,41,228
Boston,8,7,372,2,47,421
Boston,9,1,886,15,155,"1,056"
Boston,9,2,"1,217",12,152,"1,381"
Boston,9,3,"1,338",20,138,"1,496"
Boston,9,4,757,9,82,848
Boston,9,5,907,8,111,"1,026"
Boston,10,1,419,3,70,492
Boston,10,2,380,4,56,440
Boston,10,3,419,3,58,480
Boston,10,4,679,15,191,885
Boston,10,5,548,10,69,627
Boston,10,6,587,5,77,669
Boston,10,7,823,7,73,903
Boston,10,8,"1,041",13,117,"1,171"
Boston,10,9,"1,198",14,128,"1,340"
Boston,11,1,479,3,43,525
Boston,11,2,695,5,198,898
Boston,11,3,564,4,52,620
Boston,11,4,"1,014",15,94,"1,123"
Boston,11,5,787,14,79,880
Boston,11,6,744,5,74,823
Boston,11,7,938,9,95,"1,042"
Boston,11,8,"1,194",8,85,"1,287"
Boston,11,9,704,9,59,772
Boston,11,10,870,3,79,952
Boston,12,1,752,5,90,847
Boston,12,2,871,6,87,964
Boston,12,3,438,3,41,482
Boston,12,4,475,4,43,522
Boston,12,5,306,4,50,360
Boston,12,6,409,5,49,463
Boston,12,7,808,5,86,899
Boston,12,8,336,2,42,380
Boston,12,9,441,5,50,496
Boston,13,1,538,12,77,627
Boston,13,2,220,3,21,244
Boston,13,4,425,4,40,469
Boston,14,1,890,6,94,990
Boston,14,3,464,2,45,511
Boston,14,6,414,5,59,478
Boston,14,7,443,4,35,482
Boston,14,8,536,6,69,611
Boston,14,9,434,4,52,490
Boston,14,10,508,9,58,575
Boston,14,11,482,7,51,540
Boston,18,7,763,10,101,874
Boston,18,8,"1,246",13,188,"1,447"
Boston,18,11,664,7,108,779
Boston,18,12,776,22,168,966
Boston,18,14,457,5,64,526
Boston,18,22,846,12,267,"1,125"
Boston,19,1,953,5,75,"1,033"
Boston,19,2,882,28,275,"1,185"
Boston,19,3,764,4,82,850
Boston,19,4,"1,120",4,89,"1,213"
Boston,19,5,839,11,109,959
Boston,19,6,"1,201",5,122,"1,328"
Boston,19,7,"1,120",13,110,"1,243"
Boston,19,8,593,7,65,665
Boston,19,9,587,7,60,654
TOTALS,,,"50,742",582,"6,588","57,912"
