City/Town,Ward,Pct,"William N. Brownsberger","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Belmont,-,1,"1,357",1,297,"1,655"
Belmont,-,2,"1,292",40,402,"1,734"
Belmont,-,3,"1,298",20,260,"1,578"
Belmont,-,4,"1,125",21,250,"1,396"
Belmont,-,5,"1,259",13,280,"1,552"
Belmont,-,6,"1,365",29,286,"1,680"
Belmont,-,7,"1,352",11,245,"1,608"
Belmont,-,8,"1,314",21,453,"1,788"
Boston,4,2,"1,391",27,410,"1,828"
Boston,4,5,708,2,142,852
Boston,4,6,589,12,120,721
Boston,4,7,592,3,84,679
Boston,4,8,602,10,125,737
Boston,4,9,352,0,37,389
Boston,4,10,302,2,30,334
Boston,5,2,818,6,92,916
Boston,5,2A,481,7,80,568
Boston,5,6,851,15,307,"1,173"
Boston,5,7,"1,082",20,298,"1,400"
Boston,5,8,"1,004",16,246,"1,266"
Boston,5,9,"1,363",21,285,"1,669"
Boston,5,10,791,16,141,948
Boston,21,1,898,8,116,"1,022"
Boston,21,2,285,0,26,311
Boston,21,3,583,10,73,666
Boston,21,5,851,9,87,947
Boston,21,8,940,11,102,"1,053"
Boston,21,9,827,9,135,971
Boston,21,10,750,6,127,883
Boston,21,11,894,13,114,"1,021"
Boston,21,12,806,15,147,968
Boston,21,13,871,19,306,"1,196"
Boston,21,14,604,7,71,682
Boston,21,15,715,5,77,797
Boston,21,16,785,14,150,949
Boston,22,3,955,12,181,"1,148"
Boston,22,4,688,10,152,850
Boston,22,6,606,5,90,701
Boston,22,7,881,10,144,"1,035"
Boston,22,8,525,23,169,717
Boston,22,9,665,14,147,826
Boston,22,10,803,20,148,971
Boston,22,11,523,12,129,664
Boston,22,12,495,12,132,639
Boston,22,13,525,6,119,650
Watertown,-,1,888,8,197,"1,093"
Watertown,-,2,987,16,181,"1,184"
Watertown,-,3,"1,210",17,212,"1,439"
Watertown,-,4,"1,276",9,228,"1,513"
Watertown,-,5,"1,155",16,202,"1,373"
Watertown,-,6,"1,030",8,192,"1,230"
Watertown,-,7,"1,182",19,256,"1,457"
Watertown,-,8,"1,238",23,264,"1,525"
Watertown,-,9,905,13,187,"1,105"
Watertown,-,10,"1,379",32,338,"1,749"
Watertown,-,11,919,22,269,"1,210"
Watertown,-,12,891,12,220,"1,123"
TOTALS,,,"50,823",758,"10,558","62,139"
