City/Town,Ward,Pct,"Brendan P. Crighton","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lynn,1,1,121,7,2,130
Lynn,1,2,89,8,0,97
Lynn,1,3,61,1,2,64
Lynn,1,4,59,0,0,59
Lynn,2,1,105,2,0,107
Lynn,2,2,35,1,0,36
Lynn,2,3,15,0,0,15
Lynn,2,4,22,1,0,23
Lynn,3,1,36,0,2,38
Lynn,3,2,25,2,1,28
Lynn,3,3,52,3,0,55
Lynn,3,4,35,0,0,35
Lynn,4,1,8,0,0,8
Lynn,4,2,13,0,0,13
Lynn,4,3,37,0,0,37
Lynn,4,4,58,0,0,58
Lynn,5,1,71,3,0,74
Lynn,5,2,15,2,1,18
Lynn,5,3,20,1,0,21
Lynn,5,4,97,5,0,102
Lynn,6,1,50,1,0,51
Lynn,6,2,13,0,0,13
Lynn,6,3,18,0,0,18
Lynn,6,4,17,2,0,19
Lynn,7,1,84,1,1,86
Lynn,7,2,94,0,0,94
Lynn,7,3,33,0,0,33
Lynn,7,4,33,0,0,33
Lynnfield,-,1,42,0,8,50
Lynnfield,-,2,49,0,1,50
Lynnfield,-,3,43,0,2,45
Lynnfield,-,4,41,0,3,44
Marblehead,-,1,143,0,9,152
Marblehead,-,2,106,7,3,116
Marblehead,-,3,81,1,5,87
Marblehead,-,4,90,4,3,97
Marblehead,-,5,64,3,0,67
Marblehead,-,6,89,3,1,93
Nahant,-,1,205,5,2,212
Saugus,-,1,41,1,5,47
Saugus,-,2,42,2,2,46
Saugus,-,3,31,0,0,31
Saugus,-,4,22,1,1,24
Saugus,-,5,38,0,10,48
Saugus,-,6,28,1,2,31
Saugus,-,7,30,2,3,35
Saugus,-,8,21,2,1,24
Saugus,-,9,17,3,3,23
Saugus,-,10,29,2,2,33
Swampscott,-,1,52,2,2,56
Swampscott,-,2,41,1,1,43
Swampscott,-,3,48,1,0,49
Swampscott,-,4,70,5,0,75
Swampscott,-,5,42,1,0,43
Swampscott,-,6,33,1,1,35
TOTALS,,,"2,854",88,79,"3,021"
