City/Town,Ward,Pct,"Michael J. Barrett","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Bedford,-,1,"1,450",25,416,"1,891"
Bedford,-,2,"1,239",27,409,"1,675"
Bedford,-,3,"1,349",18,398,"1,765"
Bedford,-,4,"1,170",21,404,"1,595"
Carlisle,-,1,"2,279",9,701,"2,989"
Chelmsford,-,1,"1,307",28,554,"1,889"
Chelmsford,-,2,"1,237",11,419,"1,667"
Chelmsford,-,3,"1,273",18,561,"1,852"
Chelmsford,-,4,"1,190",10,519,"1,719"
Chelmsford,-,5,"1,269",25,563,"1,857"
Chelmsford,-,6,"1,399",9,604,"2,012"
Chelmsford,-,7,"1,402",15,698,"2,115"
Chelmsford,-,8,"1,321",12,579,"1,912"
Chelmsford,-,9,"1,391",9,632,"2,032"
Concord,-,1,"1,567",2,391,"1,960"
Concord,-,2,"1,928",20,470,"2,418"
Concord,-,3,"1,685",9,450,"2,144"
Concord,-,4,"1,786",9,446,"2,241"
Concord,-,5,"1,143",7,278,"1,428"
Lexington,-,3,"1,239",1,257,"1,497"
Lexington,-,8,"1,388",3,372,"1,763"
Lexington,-,9,"1,392",3,386,"1,781"
Lincoln,-,1,"1,796",14,394,"2,204"
Lincoln,-,2,"1,074",17,261,"1,352"
Sudbury,-,1,"1,098",19,336,"1,453"
Sudbury,-,1A,369,7,132,508
Sudbury,-,4,"1,518",23,445,"1,986"
Sudbury,-,5,"1,396",17,452,"1,865"
Waltham,1,1,"1,131",21,431,"1,583"
Waltham,1,2,"1,175",19,497,"1,691"
Waltham,2,1,"1,164",33,400,"1,597"
Waltham,2,2,917,7,198,"1,122"
Waltham,3,1,"1,171",14,558,"1,743"
Waltham,3,2,"1,142",22,420,"1,584"
Waltham,4,1,"1,218",17,446,"1,681"
Waltham,4,2,287,4,92,383
Waltham,5,1,"1,125",14,340,"1,479"
Waltham,5,2,968,9,229,"1,206"
Waltham,6,1,"1,016",12,288,"1,316"
Waltham,6,2,619,5,158,782
Waltham,7,1,"1,034",10,383,"1,427"
Waltham,7,2,397,5,90,492
Waltham,8,1,957,16,183,"1,156"
Waltham,8,2,"1,055",11,230,"1,296"
Waltham,9,1,745,9,149,903
Waltham,9,2,767,9,161,937
Weston,-,1,"1,070",21,403,"1,494"
Weston,-,2,954,16,376,"1,346"
Weston,-,3,929,11,377,"1,317"
Weston,-,4,"1,003",15,393,"1,411"
TOTALS,,,"59,499",688,"19,329","79,516"
