City/Town,Ward,Pct,"Adam G. Hinds","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Adams,-,1,468,0,80,548
Adams,-,2,549,4,101,654
Adams,-,3,543,3,114,660
Adams,-,4,482,2,90,574
Adams,-,5,633,3,119,755
Alford,-,1,231,0,30,261
Ashfield,-,1,938,0,113,"1,051"
Becket,-,1,605,17,183,805
Blandford,-,1,376,2,226,604
Buckland,-,1,868,6,102,976
Charlemont,-,1,468,0,125,593
Cheshire,-,1,"1,183",20,309,"1,512"
Chester,-,1,369,2,204,575
Chesterfield,-,1,513,0,144,657
Clarksburg,-,1,586,0,129,715
Conway,-,1,952,1,163,"1,116"
Cummington,-,1,399,0,86,485
Dalton,-,1,"1,185",12,280,"1,477"
Dalton,-,2,"1,204",13,242,"1,459"
Egremont,-,1,682,0,111,793
Florida,-,1,225,0,100,325
Goshen,-,1,445,1,103,549
"Great Barrington",-,A,744,4,119,867
"Great Barrington",-,B,744,5,120,869
"Great Barrington",-,C,557,6,62,625
"Great Barrington",-,D,749,7,120,876
Hancock,-,1,274,1,83,358
Hawley,-,1,144,0,28,172
Heath,-,1,284,1,86,371
Hinsdale,-,1,732,3,187,922
Huntington,-,1,644,2,306,952
Lanesborough,-,1,"1,101",20,317,"1,438"
Lee,-,1,"2,108",14,461,"2,583"
Lenox,-,1,"2,310",24,403,"2,737"
Middlefield,-,1,203,0,58,261
Monroe,-,1,37,0,11,48
Monterey,-,1,401,0,68,469
"Mount Washington",-,1,85,0,12,97
"New Ashford",-,1,106,0,19,125
"New Marlborough",-,1,609,2,168,779
"N. Adams",1,1,804,2,158,964
"N. Adams",2,2,681,2,125,808
"N. Adams",3,3,624,1,75,700
"N. Adams",4,4,825,3,185,"1,013"
"N. Adams",5,5,716,0,148,864
Otis,-,1,513,3,221,737
Peru,-,1,312,0,119,431
Pittsfield,1,A,758,2,140,900
Pittsfield,1,B,996,6,222,"1,224"
Pittsfield,2,A,502,4,63,569
Pittsfield,2,B,"1,047",3,234,"1,284"
Pittsfield,3,A,"1,228",10,216,"1,454"
Pittsfield,3,B,"1,248",6,287,"1,541"
Pittsfield,4,A,"1,203",8,288,"1,499"
Pittsfield,4,B,"1,412",8,363,"1,783"
Pittsfield,5,A,952,6,193,"1,151"
Pittsfield,5,B,"1,031",7,233,"1,271"
Pittsfield,6,A,"1,048",1,234,"1,283"
Pittsfield,6,B,679,3,148,830
Pittsfield,7,A,608,4,106,718
Pittsfield,7,B,"1,064",5,248,"1,317"
Plainfield,-,1,316,1,61,378
Richmond,-,1,758,7,104,869
Rowe,-,1,151,0,45,196
Sandisfield,-,1,281,0,93,374
Savoy,-,1,209,1,93,303
Sheffield,-,1,"1,310",2,306,"1,618"
Shelburne,-,1,880,6,136,"1,022"
Stockbridge,-,1,933,1,196,"1,130"
Tyringham,-,1,210,3,48,261
Washington,-,1,250,0,50,300
"W. Stockbridge",-,1,703,3,107,813
Westhampton,-,1,777,2,228,"1,007"
Williamsburg,-,1,"1,314",4,239,"1,557"
Williamstown,-,1,"1,199",8,161,"1,368"
Williamstown,-,2,479,0,49,528
Williamstown,-,3,"1,173",8,127,"1,308"
Windsor,-,1,346,0,111,457
Worthington,-,1,552,2,133,687
TOTALS,,,"55,828",307,"12,075","68,210"
