City/Town,Ward,Pct,"Paul R. Feeney","Jacob J. Ventura","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Attleboro,3,B,823,568,0,42,"1,433"
Attleboro,4,A,659,361,2,42,"1,064"
Attleboro,4,B,982,846,0,64,"1,892"
Attleboro,5,A,533,231,0,0,764
Attleboro,5,B,845,519,0,40,"1,404"
Attleboro,6,A,669,511,1,38,"1,219"
Attleboro,6,B,814,603,1,40,"1,458"
Foxborough,-,1,990,495,1,64,"1,550"
Foxborough,-,2,"1,117",596,1,102,"1,816"
Foxborough,-,3,"1,079",660,0,76,"1,815"
Foxborough,-,4,"1,042",634,0,79,"1,755"
Foxborough,-,5,996,597,0,72,"1,665"
Mansfield,-,1,"1,015",751,0,92,"1,858"
Mansfield,-,2,"1,135",683,0,82,"1,900"
Mansfield,-,3,"1,205",761,0,113,"2,079"
Mansfield,-,4,"1,073",627,0,84,"1,784"
Mansfield,-,5,"1,095",489,0,79,"1,663"
Mansfield,-,6,"1,080",505,0,48,"1,633"
Medfield,-,1,"1,036",569,0,89,"1,694"
Medfield,-,2,954,600,8,68,"1,630"
Medfield,-,3,989,621,3,71,"1,684"
Medfield,-,4,954,601,1,96,"1,652"
Norton,-,1,930,733,0,65,"1,728"
Norton,-,2,902,735,2,61,"1,700"
Norton,-,3,898,629,1,70,"1,598"
Norton,-,4,"1,008",713,1,98,"1,820"
Norton,-,5,543,442,1,41,"1,027"
Rehoboth,-,1,778,899,0,63,"1,740"
Rehoboth,-,2,808,848,0,49,"1,705"
Rehoboth,-,3,862,892,0,74,"1,828"
Seekonk,-,1,697,653,13,27,"1,390"
Seekonk,-,2,915,780,2,51,"1,748"
Seekonk,-,3,852,647,1,39,"1,539"
Seekonk,-,4,761,626,1,42,"1,430"
Sharon,-,1,"1,338",396,5,94,"1,833"
Sharon,-,4,"1,315",373,2,92,"1,782"
Sharon,-,5,"1,122",396,1,108,"1,627"
Walpole,-,1,895,523,0,61,"1,479"
Walpole,-,2,912,613,2,94,"1,621"
Walpole,-,3,970,582,1,97,"1,650"
Walpole,-,4,907,483,0,73,"1,463"
Walpole,-,5,724,544,0,72,"1,340"
Walpole,-,6,896,627,1,70,"1,594"
Walpole,-,7,896,639,1,75,"1,611"
Walpole,-,8,832,647,0,79,"1,558"
TOTALS,,,"41,846","27,248",53,"3,076","72,223"
