City/Town,Ward,Pct,"Julian Andre Cyr","John G. Flores","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Aquinnah,-,1,243,18,0,6,267
Barnstable,-,1,"1,191",939,0,39,"2,169"
Barnstable,-,2,981,884,0,43,"1,908"
Barnstable,-,3,760,551,0,38,"1,349"
Barnstable,-,4,937,805,2,34,"1,778"
Barnstable,-,5,941,"1,044",0,45,"2,030"
Barnstable,-,6,984,875,1,42,"1,902"
Barnstable,-,7,"1,148",990,0,47,"2,185"
Barnstable,-,8,730,466,0,23,"1,219"
Barnstable,-,9,477,286,0,17,780
Barnstable,-,10,824,812,1,41,"1,678"
Barnstable,-,11,"1,039",984,0,43,"2,066"
Barnstable,-,12,963,910,0,34,"1,907"
Barnstable,-,13,742,540,0,29,"1,311"
Brewster,-,1,"1,304",712,1,36,"2,053"
Brewster,-,2,"1,277",682,1,39,"1,999"
Brewster,-,3,"1,187",726,0,38,"1,951"
Chatham,-,1,"2,286","1,731",3,94,"4,114"
Chilmark,-,1,607,107,0,19,733
Dennis,-,1,997,818,0,38,"1,853"
Dennis,-,2,"1,058",761,0,36,"1,855"
Dennis,-,3,885,524,0,22,"1,431"
Dennis,-,4,946,689,1,39,"1,675"
Dennis,-,5,932,579,0,50,"1,561"
Eastham,-,1,"2,228","1,017",4,58,"3,307"
Edgartown,-,1,"1,641",660,1,112,"2,414"
Gosnold,-,1,35,19,0,3,57
Harwich,-,1,"1,149",792,1,41,"1,983"
Harwich,-,2,"1,144",777,1,32,"1,954"
Harwich,-,3,"1,089",806,1,37,"1,933"
Harwich,-,4,"1,032",622,2,40,"1,696"
Mashpee,-,1,"1,089",740,0,60,"1,889"
Mashpee,-,2,767,644,0,42,"1,453"
Mashpee,-,3,657,548,0,15,"1,220"
Mashpee,-,4,770,571,1,42,"1,384"
Mashpee,-,5,909,876,2,65,"1,852"
Nantucket,-,1,"2,838","1,279",2,86,"4,205"
"Oak Bluffs",-,1,"1,888",586,0,96,"2,570"
Orleans,-,1,"2,630","1,400",3,72,"4,105"
Provincetown,-,1,"1,943",166,0,31,"2,140"
Tisbury,-,1,"1,779",454,0,85,"2,318"
Truro,-,1,"1,146",288,0,19,"1,453"
Wellfleet,-,1,"1,561",426,4,35,"2,026"
"W. Tisbury",-,1,"1,561",300,0,59,"1,920"
Yarmouth,-,1,"1,185",770,1,43,"1,999"
Yarmouth,-,2,"1,090",801,2,46,"1,939"
Yarmouth,-,3,796,527,0,25,"1,348"
Yarmouth,-,4,929,711,1,40,"1,681"
Yarmouth,-,5,813,640,1,32,"1,486"
Yarmouth,-,6,829,652,1,34,"1,516"
Yarmouth,-,7,"1,259",995,0,53,"2,307"
TOTALS,,,"58,196","35,500",38,"2,195","95,929"
