City/Town,Ward,Pct,"Lori Loureiro Trahan","Rick Green","Michael P. Mullen","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled
Acton,-,1,"1,244",433,49,1,39,"1,766"
Acton,-,2,"1,340",464,92,1,44,"1,941"
Acton,-,3,"1,389",389,91,1,48,"1,918"
Acton,-,4,"1,478",374,103,0,36,"1,991"
Acton,-,5,"1,372",363,121,0,47,"1,903"
Acton,-,6,"1,192",355,86,0,32,"1,665"
Andover,-,2,"1,181",655,59,1,49,"1,945"
Andover,-,3,"1,269",521,63,2,42,"1,897"
Andover,-,4,"1,116",666,45,2,35,"1,864"
Andover,-,5,"1,192",662,53,1,37,"1,945"
Andover,-,6,"1,072",662,45,0,37,"1,816"
Andover,-,7,884,504,39,1,36,"1,464"
Andover,-,9,"1,109",651,52,1,56,"1,869"
Ashburnham,-,1,"1,364","1,296",119,0,70,"2,849"
Ashby,-,1,689,823,58,0,33,"1,603"
Ayer,-,1,965,568,87,0,35,"1,655"
Ayer,-,2,"1,034",600,90,0,33,"1,757"
Berlin,-,1,982,641,99,0,38,"1,760"
Bolton,-,1,"1,775",991,134,2,50,"2,952"
Boxborough,-,1,"1,819",749,112,0,71,"2,751"
Carlisle,-,1,"2,082",769,80,0,58,"2,989"
Chelmsford,-,1,"1,203",579,63,1,43,"1,889"
Chelmsford,-,2,"1,099",472,47,1,48,"1,667"
Chelmsford,-,3,"1,110",654,50,0,38,"1,852"
Chelmsford,-,4,"1,051",587,47,0,34,"1,719"
Chelmsford,-,5,"1,168",565,75,0,49,"1,857"
Chelmsford,-,6,"1,279",649,50,1,33,"2,012"
Chelmsford,-,7,"1,299",735,49,0,32,"2,115"
Chelmsford,-,8,"1,264",568,43,1,36,"1,912"
Chelmsford,-,9,"1,265",674,55,1,37,"2,032"
Clinton,-,1,892,517,86,0,36,"1,531"
Clinton,-,2,787,445,109,2,20,"1,363"
Clinton,-,3,771,510,85,1,26,"1,393"
Clinton,-,4,739,473,72,2,28,"1,314"
Concord,-,1,"1,447",387,78,1,47,"1,960"
Concord,-,2,"1,841",431,108,0,38,"2,418"
Concord,-,3,"1,624",413,70,0,37,"2,144"
Concord,-,4,"1,694",430,71,1,45,"2,241"
Concord,-,5,"1,047",306,49,0,26,"1,428"
Dracut,-,1,699,504,35,0,26,"1,264"
Dracut,-,2,626,439,56,0,29,"1,150"
Dracut,-,3,780,610,52,0,25,"1,467"
Dracut,-,4,825,822,63,0,52,"1,762"
Dracut,-,5,736,630,47,0,37,"1,450"
Dracut,-,6,724,547,48,0,27,"1,346"
Dracut,-,6A,40,19,1,0,2,62
Dracut,-,7,731,495,39,0,31,"1,296"
Dracut,-,8,"1,020",870,56,0,41,"1,987"
Dracut,-,9,838,560,52,0,42,"1,492"
Dunstable,-,1,959,710,37,0,31,"1,737"
Fitchburg,1,A,436,258,41,0,20,755
Fitchburg,1,B,577,348,35,1,25,986
Fitchburg,2,A,438,189,29,0,18,674
Fitchburg,2,B,601,439,58,0,31,"1,129"
Fitchburg,3,A,810,649,63,0,56,"1,578"
Fitchburg,3,B,608,455,65,0,41,"1,169"
Fitchburg,4,A,269,176,42,0,21,508
Fitchburg,4,B,454,234,33,0,23,744
Fitchburg,5,A,733,648,45,0,45,"1,471"
Fitchburg,5,B,382,161,31,0,8,582
Fitchburg,6,A,696,496,51,0,40,"1,283"
Fitchburg,6,B,496,252,37,0,17,802
Gardner,1,A,476,350,51,0,25,902
Gardner,1,B,169,156,13,0,14,352
Gardner,2,A,378,311,43,0,26,758
Gardner,2,B,420,401,49,0,24,894
Gardner,3,A,338,230,36,0,11,615
Gardner,3,B,465,303,36,0,23,827
Gardner,4,A,402,247,39,1,24,713
Gardner,4,B,231,150,32,0,16,429
Gardner,5,A,331,214,33,0,16,594
Gardner,5,B,416,403,54,0,19,892
Groton,-,1,"1,289",650,55,0,24,"2,018"
Groton,-,2,"1,141",666,63,0,39,"1,909"
Groton,-,3,"1,152",655,55,0,48,"1,910"
Harvard,-,1,"2,263",914,121,0,74,"3,372"
Haverhill,1,1,420,175,22,1,23,641
Haverhill,1,2,662,285,41,0,32,"1,020"
Haverhill,1,3,506,284,42,1,21,854
Haverhill,2,1,573,314,54,0,22,963
Haverhill,2,2,553,428,55,0,32,"1,068"
Haverhill,2,3,426,169,33,1,20,649
Haverhill,3,1,376,97,25,1,18,517
Haverhill,3,2,504,182,50,0,21,757
Haverhill,3,3,533,259,44,0,15,851
Haverhill,4,1,682,517,48,0,37,"1,284"
Haverhill,4,2,778,675,59,1,34,"1,547"
Haverhill,4,3,730,517,50,2,35,"1,334"
Haverhill,5,1,752,391,56,1,50,"1,250"
Haverhill,5,2,732,594,48,0,31,"1,405"
Haverhill,5,3,769,748,51,0,32,"1,600"
Haverhill,6,1,619,387,51,0,25,"1,082"
Haverhill,6,2,641,422,61,1,31,"1,156"
Haverhill,6,3,774,495,45,0,37,"1,351"
Haverhill,7,1,770,463,58,0,52,"1,343"
Haverhill,7,2,651,418,41,0,30,"1,140"
Haverhill,7,3,791,617,53,42,1,"1,504"
Hudson,-,1,771,464,82,0,34,"1,351"
Hudson,-,2,607,329,90,1,20,"1,047"
Hudson,-,3,746,513,89,0,31,"1,379"
Hudson,-,4,822,520,79,2,42,"1,465"
Hudson,-,5,"1,021",548,107,0,33,"1,709"
Hudson,-,6,576,307,68,0,24,975
Hudson,-,7,644,273,75,0,24,"1,016"
Lancaster,-,1,815,664,86,1,42,"1,608"
Lancaster,-,2,900,732,85,0,59,"1,776"
Lawrence,A,1,540,124,33,2,19,718
Lawrence,A,2,369,58,22,0,32,481
Lawrence,A,3,451,144,37,0,22,654
Lawrence,A,4,517,96,20,0,21,654
Lawrence,B,1,555,106,35,0,39,735
Lawrence,B,2,405,62,17,2,23,509
Lawrence,B,3,435,98,20,0,27,580
Lawrence,B,4,602,82,41,5,72,802
Lawrence,C,1,390,68,16,2,17,493
Lawrence,C,2,582,139,42,1,25,789
Lawrence,C,3,390,48,11,1,27,477
Lawrence,C,4,478,71,24,2,55,630
Lawrence,D,1,494,120,38,0,27,679
Lawrence,D,2,452,72,22,1,21,568
Lawrence,D,3,358,49,30,0,36,473
Lawrence,D,4,336,64,28,0,28,456
Lawrence,E,1,703,333,41,0,32,"1,109"
Lawrence,E,2,655,297,42,1,22,"1,017"
Lawrence,E,3,417,125,22,1,19,584
Lawrence,E,4,469,123,34,1,44,671
Lawrence,F,1,582,215,41,0,28,866
Lawrence,F,2,410,64,27,0,21,522
Lawrence,F,3,405,83,29,0,22,539
Lawrence,F,4,403,101,23,0,16,543
Littleton,-,1,"1,216",586,68,0,28,"1,898"
Littleton,-,2,"1,098",556,57,0,40,"1,751"
Littleton,-,3,"1,047",477,78,0,21,"1,623"
Lowell,1,1,463,118,24,0,20,625
Lowell,1,2,"1,210",528,46,0,43,"1,827"
Lowell,1,3,"1,040",391,47,0,37,"1,515"
Lowell,2,1,345,63,25,0,22,455
Lowell,2,2,460,90,38,0,52,640
Lowell,2,3,"1,029",173,44,0,49,"1,295"
Lowell,3,1,515,164,23,0,30,732
Lowell,3,2,396,117,30,0,34,577
Lowell,3,3,412,121,22,0,28,583
Lowell,4,1,582,216,27,0,42,867
Lowell,4,2,353,102,14,0,54,523
Lowell,4,3,364,112,38,0,41,555
Lowell,5,1,541,225,26,0,22,814
Lowell,5,2,403,132,25,0,24,584
Lowell,5,3,523,262,41,0,18,844
Lowell,6,1,661,314,46,0,21,"1,042"
Lowell,6,2,732,367,37,0,28,"1,164"
Lowell,6,3,614,281,25,0,37,957
Lowell,7,1,425,98,28,0,19,570
Lowell,7,2,466,105,40,0,27,638
Lowell,7,3,270,83,19,0,29,401
Lowell,8,1,533,162,17,0,28,740
Lowell,8,2,493,212,23,0,31,759
Lowell,8,3,903,373,40,0,38,"1,354"
Lowell,9,1,492,161,22,0,28,703
Lowell,9,2,694,268,46,0,15,"1,023"
Lowell,9,3,536,213,30,0,14,793
Lowell,10,1,528,181,19,0,33,761
Lowell,10,2,332,101,22,0,23,478
Lowell,10,3,267,79,26,0,14,386
Lowell,11,1,560,232,43,0,25,860
Lowell,11,2,609,308,48,0,21,986
Lowell,11,3,654,264,32,0,23,973
Lunenburg,-,A,739,580,65,0,35,"1,419"
Lunenburg,-,B,656,482,58,0,24,"1,220"
Lunenburg,-,C,660,641,63,1,50,"1,415"
Lunenburg,-,D,652,535,60,0,33,"1,280"
Marlborough,1,1,587,261,55,0,30,933
Marlborough,1,2,861,516,72,0,42,"1,491"
Marlborough,2,1,676,374,69,0,29,"1,148"
Marlborough,2,2,565,282,52,1,34,934
Marlborough,3,1,445,208,54,1,24,732
Marlborough,3,2,955,440,74,1,38,"1,508"
Marlborough,4,1,367,184,40,0,19,610
Marlborough,4,2,769,418,100,0,23,"1,310"
Marlborough,5,1,430,176,47,1,20,674
Marlborough,5,2,704,326,63,0,14,"1,107"
Marlborough,6,1,500,232,49,0,22,803
Marlborough,6,2,788,451,72,2,37,"1,350"
Marlborough,7,1,588,283,61,1,18,951
Marlborough,7,2,572,319,55,0,29,975
Maynard,-,1,799,316,274,3,20,"1,412"
Maynard,-,2,848,253,219,0,24,"1,344"
Maynard,-,3,809,290,276,1,33,"1,409"
Maynard,-,4,763,302,217,1,27,"1,310"
Methuen,-,1,889,504,51,1,35,"1,480"
Methuen,-,2,539,126,26,1,24,716
Methuen,-,3,782,501,55,2,32,"1,372"
Methuen,-,4,850,445,60,1,42,"1,398"
Methuen,-,5,721,376,45,1,31,"1,174"
Methuen,-,6,867,446,51,2,40,"1,406"
Methuen,-,7,866,614,59,0,51,"1,590"
Methuen,-,8,991,934,65,1,55,"2,046"
Methuen,-,9,820,744,56,2,46,"1,668"
Methuen,-,10,889,471,55,0,32,"1,447"
Methuen,-,11,968,823,69,0,61,"1,921"
Methuen,-,12,799,709,53,1,37,"1,599"
Pepperell,-,1,755,906,53,0,22,"1,736"
Pepperell,-,2,908,944,58,2,21,"1,933"
Pepperell,-,3,825,943,58,0,24,"1,850"
Shirley,-,1,"1,445","1,149",131,1,82,"2,808"
Stow,-,1,"1,313",588,163,1,39,"2,104"
Stow,-,2,"1,239",546,127,1,52,"1,965"
Sudbury,-,1,946,357,108,0,42,"1,453"
Townsend,-,1,550,709,48,0,28,"1,335"
Townsend,-,2,612,654,43,0,33,"1,342"
Townsend,-,3,643,646,51,0,20,"1,360"
Tyngsborough,-,1,737,503,37,0,26,"1,303"
Tyngsborough,-,2,721,544,48,0,18,"1,331"
Tyngsborough,-,3,807,505,31,0,26,"1,369"
Tyngsborough,-,4,824,603,31,0,28,"1,486"
Westford,-,1,"1,331",710,40,0,31,"2,112"
Westford,-,2,"1,327",626,58,0,30,"2,041"
Westford,-,3,"1,298",658,45,1,34,"2,036"
Westford,-,4,"1,330",571,47,0,33,"1,981"
Westford,-,5,"1,281",562,36,2,32,"1,913"
Westford,-,6,"1,136",570,41,0,34,"1,781"
Westminster,-,1,922,910,102,0,48,"1,982"
Westminster,-,2,886,931,89,0,58,"1,964"
Winchendon,-,1A,132,122,11,0,7,272
Winchendon,-,2,563,597,51,0,30,"1,241"
Winchendon,-,3,545,573,66,1,35,"1,220"
TOTALS,,,"173,175","93,445","12,572",135,"7,256","286,583"
