City/Town,Ward,Pct,"Joseph P. Kennedy, III","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Attleboro,1,A,862,8,261,"1,131"
Attleboro,1,B,863,41,248,"1,152"
Attleboro,2,A,"1,157",42,329,"1,528"
Attleboro,2,B,"1,163",38,352,"1,553"
Attleboro,3,A,"1,017",0,318,"1,335"
Attleboro,3,B,"1,080",0,353,"1,433"
Attleboro,4,A,839,28,197,"1,064"
Attleboro,4,B,"1,359",62,471,"1,892"
Attleboro,5,A,650,0,114,764
Attleboro,5,B,"1,081",29,294,"1,404"
Attleboro,6,A,907,43,269,"1,219"
Attleboro,6,B,"1,103",39,316,"1,458"
Bellingham,-,1,978,67,346,"1,391"
Bellingham,-,2,"1,070",47,426,"1,543"
Bellingham,-,3,"1,057",33,384,"1,474"
Bellingham,-,4,845,75,356,"1,276"
Berkley,-,1,"1,074",75,468,"1,617"
Berkley,-,2,853,8,412,"1,273"
Brookline,-,1,"1,399",11,145,"1,555"
Brookline,-,2,871,5,83,959
Brookline,-,3,"1,460",5,152,"1,617"
Brookline,-,4,"1,277",5,130,"1,412"
Brookline,-,5,"1,481",13,196,"1,690"
Brookline,-,6,"1,562",10,142,"1,714"
Brookline,-,7,"1,429",13,144,"1,586"
Brookline,-,8,"1,453",10,128,"1,591"
Brookline,-,9,"1,420",8,133,"1,561"
Brookline,-,10,"1,545",5,131,"1,681"
Brookline,-,11,"1,504",3,156,"1,663"
Brookline,-,12,"1,728",12,195,"1,935"
Brookline,-,13,"1,485",17,167,"1,669"
Brookline,-,14,"1,467",27,225,"1,719"
Brookline,-,15,"1,362",10,282,"1,654"
Brookline,-,16,"1,286",13,202,"1,501"
Dighton,-,1,"1,024",41,462,"1,527"
Dighton,-,2,"1,195",49,499,"1,743"
Dover,-,1,"2,231",72,830,"3,133"
Easton,-,1,696,13,300,"1,009"
Easton,-,2,"1,422",29,570,"2,021"
Easton,-,3,"1,211",18,401,"1,630"
Easton,-,4,"1,382",24,553,"1,959"
Easton,-,5,"1,582",23,543,"2,148"
Easton,-,6,"1,344",20,518,"1,882"
"Fall River",4,C,460,6,78,544
"Fall River",5,B1,56,0,12,68
"Fall River",5,C,378,0,97,475
"Fall River",6,C1,9,0,3,12
"Fall River",7,A,676,9,166,851
"Fall River",7,B,466,4,104,574
"Fall River",7,C,596,0,138,734
"Fall River",8,A,553,5,143,701
"Fall River",8,B,870,23,255,"1,148"
"Fall River",8,C,982,10,267,"1,259"
"Fall River",9,A,"1,127",7,380,"1,514"
"Fall River",9,B,741,11,242,994
"Fall River",9,C,770,5,235,"1,010"
Foxborough,-,1,"1,153",15,382,"1,550"
Foxborough,-,2,"1,314",13,489,"1,816"
Foxborough,-,3,"1,299",12,504,"1,815"
Foxborough,-,4,"1,249",25,481,"1,755"
Foxborough,-,5,"1,208",15,442,"1,665"
Franklin,-,1,"1,241",42,497,"1,780"
Franklin,-,2,"1,276",47,510,"1,833"
Franklin,-,3,"1,293",52,465,"1,810"
Franklin,-,4,"1,416",51,612,"2,079"
Franklin,-,5,"1,463",57,524,"2,044"
Franklin,-,6,"1,213",38,405,"1,656"
Franklin,-,7,"1,411",55,531,"1,997"
Franklin,-,8,"1,338",64,566,"1,968"
Freetown,-,1,847,41,386,"1,274"
Freetown,-,2,921,41,401,"1,363"
Freetown,-,3,857,45,414,"1,316"
Hopedale,-,1,"2,132",86,667,"2,885"
Hopkinton,-,1,"1,737",14,467,"2,218"
Hopkinton,-,2,"1,484",16,452,"1,952"
Hopkinton,-,3,"1,466",13,461,"1,940"
Hopkinton,-,4,"1,474",8,419,"1,901"
Lakeville,-,1,"1,117",30,580,"1,727"
Lakeville,-,2,"1,138",0,627,"1,765"
Lakeville,-,3,"1,308",61,585,"1,954"
Mansfield,-,1,"1,323",0,535,"1,858"
Mansfield,-,2,"1,419",2,479,"1,900"
Mansfield,-,3,"1,526",1,552,"2,079"
Mansfield,-,4,"1,343",0,441,"1,784"
Mansfield,-,5,"1,306",7,350,"1,663"
Mansfield,-,6,"1,295",0,338,"1,633"
Medfield,-,1,"1,303",8,383,"1,694"
Medfield,-,2,"1,256",19,355,"1,630"
Medfield,-,3,"1,248",43,393,"1,684"
Medfield,-,4,"1,194",18,440,"1,652"
Medway,-,1,"1,063",49,395,"1,507"
Medway,-,2,"1,212",44,346,"1,602"
Medway,-,3,"1,195",56,393,"1,644"
Medway,-,4,"1,229",47,395,"1,671"
Milford,-,1,628,23,170,821
Milford,-,2,946,34,276,"1,256"
Milford,-,3,922,33,320,"1,275"
Milford,-,4,749,20,188,957
Milford,-,5,"1,288",55,449,"1,792"
Milford,-,6,"1,016",23,290,"1,329"
Milford,-,7,"1,195",55,447,"1,697"
Milford,-,8,"1,098",35,340,"1,473"
Millis,-,1,"1,058",14,345,"1,417"
Millis,-,2,"1,054",12,393,"1,459"
Millis,-,3,"1,072",8,391,"1,471"
Needham,-,A,"1,098",26,273,"1,397"
Needham,-,B,"1,321",32,333,"1,686"
Needham,-,C,"1,304",26,285,"1,615"
Needham,-,D,"1,307",43,247,"1,597"
Needham,-,E,"1,380",20,323,"1,723"
Needham,-,F,"1,309",22,282,"1,613"
Needham,-,G,"1,361",28,317,"1,706"
Needham,-,H,"1,363",30,310,"1,703"
Needham,-,I,"1,427",26,267,"1,720"
Needham,-,J,"1,368",32,285,"1,685"
Newton,1,1,906,24,206,"1,136"
Newton,1,2,"1,163",17,137,"1,317"
Newton,1,3,"1,138",19,136,"1,293"
Newton,1,4,985,21,255,"1,261"
Newton,2,1,"1,115",18,225,"1,358"
Newton,2,2,816,10,128,954
Newton,2,3,"1,325",18,185,"1,528"
Newton,2,4,"1,303",18,192,"1,513"
Newton,3,1,"1,206",17,197,"1,420"
Newton,3,2,"1,245",15,190,"1,450"
Newton,3,3,"1,109",31,264,"1,404"
Newton,3,4,"1,103",17,228,"1,348"
Newton,4,1,"1,038",227,15,"1,280"
Newton,4,2,"1,079",29,157,"1,265"
Newton,4,3,757,15,133,905
Newton,4,4,982,15,233,"1,230"
Newton,5,1,"1,058",37,199,"1,294"
Newton,5,2,"1,185",17,173,"1,375"
Newton,5,3,"1,431",15,197,"1,643"
Newton,5,4,"1,377",16,192,"1,585"
Newton,6,1,"1,032",11,213,"1,256"
Newton,6,2,"1,261",22,152,"1,435"
Newton,6,3,"1,355",14,176,"1,545"
Newton,6,4,"1,378",15,189,"1,582"
Newton,7,1,966,37,195,"1,198"
Newton,7,2,"1,368",25,204,"1,597"
Newton,7,3,383,5,40,428
Newton,7,4,563,5,110,678
Newton,8,1,"1,245",24,307,"1,576"
Newton,8,2,"1,099",32,246,"1,377"
Newton,8,3,"1,200",29,243,"1,472"
Newton,8,4,723,12,162,897
Norfolk,-,1,781,40,322,"1,143"
Norfolk,-,2,"1,532",58,661,"2,251"
Norfolk,-,3,"1,328",47,546,"1,921"
"N. Attleborough",-,1,822,15,215,"1,052"
"N. Attleborough",-,2,"1,043",3,329,"1,375"
"N. Attleborough",-,3,"1,011",23,451,"1,485"
"N. Attleborough",-,4,797,13,220,"1,030"
"N. Attleborough",-,5,895,13,270,"1,178"
"N. Attleborough",-,6,"1,086",15,368,"1,469"
"N. Attleborough",-,7,"1,175",18,427,"1,620"
"N. Attleborough",-,8,"1,060",20,387,"1,467"
"N. Attleborough",-,9,986,11,358,"1,355"
Norton,-,1,"1,214",45,469,"1,728"
Norton,-,2,"1,191",57,452,"1,700"
Norton,-,3,"1,187",32,379,"1,598"
Norton,-,4,"1,324",46,450,"1,820"
Norton,-,5,736,33,258,"1,027"
Plainville,-,1,"1,056",32,366,"1,454"
Plainville,-,2,"1,034",16,328,"1,378"
Plainville,-,3,933,13,374,"1,320"
Raynham,-,1A,122,0,61,183
Raynham,-,2A,159,0,109,268
Raynham,-,3,"1,161",2,506,"1,669"
Raynham,-,4,994,4,420,"1,418"
Rehoboth,-,1,"1,134",0,606,"1,740"
Rehoboth,-,2,"1,132",0,573,"1,705"
Rehoboth,-,3,"1,224",0,604,"1,828"
Seekonk,-,1,992,53,345,"1,390"
Seekonk,-,2,"1,241",62,445,"1,748"
Seekonk,-,3,"1,122",56,361,"1,539"
Seekonk,-,4,"1,022",42,366,"1,430"
Sharon,-,1,"1,495",36,302,"1,833"
Sharon,-,2,"1,382",26,277,"1,685"
Sharon,-,3,"1,515",41,310,"1,866"
Sharon,-,4,"1,497",26,259,"1,782"
Sharon,-,5,"1,284",25,318,"1,627"
Somerset,-,1,"1,144",0,422,"1,566"
Somerset,-,2,"1,187",1,441,"1,629"
Somerset,-,3,"1,237",0,385,"1,622"
Somerset,-,4,"1,060",0,360,"1,420"
Somerset,-,5,956,2,363,"1,321"
Swansea,-,1,949,61,386,"1,396"
Swansea,-,2,960,38,299,"1,297"
Swansea,-,3,921,36,288,"1,245"
Swansea,-,4,968,41,357,"1,366"
Swansea,-,5,926,45,383,"1,354"
Taunton,1,A,729,24,197,950
Taunton,1,B,933,40,361,"1,334"
Taunton,2,A,499,10,91,600
Taunton,2,B,632,17,172,821
Taunton,3,A,798,25,225,"1,048"
Taunton,3,B,962,29,334,"1,325"
Taunton,4,A,905,35,377,"1,317"
Taunton,4,B,866,30,333,"1,229"
Taunton,5,A,689,18,194,901
Taunton,5,B,687,16,166,869
Taunton,6,A,578,16,128,722
Taunton,6,B,854,27,239,"1,120"
Taunton,7,A,"1,001",28,359,"1,388"
Taunton,7,B,982,33,446,"1,461"
Taunton,8,A,998,17,387,"1,402"
Taunton,8,B,"1,096",44,423,"1,563"
Wellesley,-,A,"1,424",17,381,"1,822"
Wellesley,-,B,"1,604",33,353,"1,990"
Wellesley,-,C,"1,279",24,520,"1,823"
Wellesley,-,D,"1,633",33,349,"2,015"
Wellesley,-,E,"1,301",23,344,"1,668"
Wellesley,-,F,893,18,217,"1,128"
Wellesley,-,G,820,20,129,969
Wellesley,-,H,"1,351",19,397,"1,767"
Wrentham,-,1,"1,261",73,448,"1,782"
Wrentham,-,2,"1,291",107,538,"1,936"
Wrentham,-,3,"1,365",74,434,"1,873"
TOTALS,,,"245,289","5,727","71,111","322,127"
