City/Town,Ward,Pct,"Seth W. Moulton","Joseph S. Schneider","Mary Jean Charbonneau","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled
Amesbury,-,1,977,421,53,0,30,"1,481"
Amesbury,-,2,887,313,59,1,42,"1,302"
Amesbury,-,3,938,334,45,0,37,"1,354"
Amesbury,-,4,720,275,46,1,36,"1,078"
Amesbury,-,5,831,510,46,2,40,"1,429"
Amesbury,-,6,819,286,45,4,28,"1,182"
Andover,-,1,"1,086",362,36,1,30,"1,515"
Andover,-,7A,233,116,18,0,9,376
Andover,-,8,"1,175",553,66,4,44,"1,842"
Bedford,-,1,"1,320",465,58,0,48,"1,891"
Bedford,-,2,"1,109",456,57,2,51,"1,675"
Bedford,-,3,"1,253",419,60,0,33,"1,765"
Bedford,-,4,"1,088",425,43,1,38,"1,595"
Beverly,1,1,911,456,46,0,39,"1,452"
Beverly,1,2,"1,069",484,47,0,49,"1,649"
Beverly,2,1,"1,113",292,55,0,30,"1,490"
Beverly,2,2,"1,251",356,52,0,41,"1,700"
Beverly,3,1,923,264,36,0,22,"1,245"
Beverly,3,2,960,392,52,0,30,"1,434"
Beverly,4,1,750,267,30,0,19,"1,066"
Beverly,4,2,"1,485",429,42,0,38,"1,994"
Beverly,5,1,"1,063",482,38,0,34,"1,617"
Beverly,5,2,"1,050",504,45,0,42,"1,641"
Beverly,6,1,"1,204",510,49,0,42,"1,805"
Beverly,6,2,"1,153",641,48,0,38,"1,880"
Billerica,-,1,984,548,88,0,54,"1,674"
Billerica,-,2,"1,031",599,80,1,47,"1,758"
Billerica,-,3,940,601,64,0,46,"1,651"
Billerica,-,4,761,533,64,2,54,"1,414"
Billerica,-,5,968,693,85,2,57,"1,805"
Billerica,-,6,824,565,71,2,48,"1,510"
Billerica,-,7,921,560,58,1,45,"1,585"
Billerica,-,8,965,686,89,3,55,"1,798"
Billerica,-,9,850,633,76,1,59,"1,619"
Billerica,-,10,916,675,71,1,62,"1,725"
Billerica,-,11,782,607,84,0,62,"1,535"
Boxford,-,1,815,539,37,1,25,"1,417"
Boxford,-,2,870,629,53,5,40,"1,597"
Boxford,-,3,799,574,38,0,45,"1,456"
Burlington,-,1,"1,076",683,47,0,52,"1,858"
Burlington,-,2,749,325,46,1,33,"1,154"
Burlington,-,3,982,534,57,0,62,"1,635"
Burlington,-,4,969,445,50,0,50,"1,514"
Burlington,-,5,"1,088",621,61,3,81,"1,854"
Burlington,-,6,"1,043",585,56,0,70,"1,754"
Burlington,-,7,"1,086",524,47,2,64,"1,723"
Danvers,-,1,"1,046",491,42,1,52,"1,632"
Danvers,-,2,"1,004",544,46,1,33,"1,628"
Danvers,-,3,795,483,55,0,23,"1,356"
Danvers,-,4,"1,004",532,50,1,45,"1,632"
Danvers,-,5,980,574,46,2,50,"1,652"
Danvers,-,6,"1,020",630,50,0,38,"1,738"
Danvers,-,7,"1,010",539,59,1,28,"1,637"
Danvers,-,8,834,525,39,0,31,"1,429"
Essex,-,1,"1,343",581,60,3,55,"2,042"
Georgetown,-,1,836,630,51,0,31,"1,548"
Georgetown,-,2,760,523,53,0,36,"1,372"
Georgetown,-,3,754,455,45,0,37,"1,291"
Gloucester,1,1,"1,184",385,46,0,44,"1,659"
Gloucester,1,2,900,324,51,0,32,"1,307"
Gloucester,2,1,681,208,42,1,27,959
Gloucester,2,2,727,180,56,1,25,989
Gloucester,3,1,765,279,62,1,29,"1,136"
Gloucester,3,2,835,325,57,0,27,"1,244"
Gloucester,4,1,979,363,50,0,37,"1,429"
Gloucester,4,2,"1,382",347,55,0,23,"1,807"
Gloucester,5,1,"1,157",468,50,2,44,"1,721"
Gloucester,5,2,"1,084",476,53,2,36,"1,651"
Groveland,-,1,925,687,68,0,43,"1,723"
Groveland,-,2,908,717,87,0,57,"1,769"
Hamilton,-,1,"1,002",474,43,0,18,"1,537"
Hamilton,-,2,961,465,29,0,21,"1,476"
Hamilton,-,3,726,320,39,1,20,"1,106"
Ipswich,-,1,"1,351",440,56,0,46,"1,893"
Ipswich,-,2,"1,368",602,66,0,55,"2,091"
Ipswich,-,3,"1,098",646,62,0,62,"1,868"
Ipswich,-,4,"1,223",612,60,0,71,"1,966"
Lynn,1,1,918,540,41,2,68,"1,569"
Lynn,1,2,"1,000",528,59,0,61,"1,648"
Lynn,1,3,886,350,51,1,41,"1,329"
Lynn,1,4,834,315,35,3,42,"1,229"
Lynn,2,1,"1,010",449,52,3,46,"1,560"
Lynn,2,2,640,147,27,1,23,838
Lynn,2,3,471,75,21,0,16,583
Lynn,2,4,448,76,19,0,10,553
Lynn,3,1,739,243,32,0,36,"1,050"
Lynn,3,2,649,152,21,2,28,852
Lynn,3,3,681,198,35,2,18,934
Lynn,3,4,804,196,26,5,21,"1,052"
Lynn,4,1,291,35,15,0,13,354
Lynn,4,2,389,49,16,0,17,471
Lynn,4,3,542,101,22,1,20,686
Lynn,4,4,668,180,39,1,30,918
Lynn,5,1,677,192,28,1,37,935
Lynn,5,2,310,37,15,0,9,371
Lynn,5,3,385,58,18,0,23,484
Lynn,5,4,748,164,39,1,48,"1,000"
Lynn,6,1,499,96,25,1,23,644
Lynn,6,2,294,86,13,1,19,413
Lynn,6,3,469,115,16,1,29,630
Lynn,6,4,388,93,13,1,26,521
Lynn,7,1,949,306,49,0,35,"1,339"
Lynn,7,2,827,237,32,0,48,"1,144"
Lynn,7,3,530,168,18,3,23,742
Lynn,7,4,600,181,40,2,33,856
Lynnfield,-,1,841,691,58,0,42,"1,632"
Lynnfield,-,2,888,649,45,0,60,"1,642"
Lynnfield,-,3,761,584,46,0,48,"1,439"
Lynnfield,-,4,839,789,30,0,50,"1,708"
Manchester-by-the-Sea,-,1,"2,192",828,82,1,73,"3,176"
Marblehead,-,1,"1,462",489,31,0,30,"2,012"
