City/Town,Ward,Pct,"Ayanna S. Pressley","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,1,1,745,14,109,868
Boston,1,2,495,14,72,581
Boston,1,3,"1,186",25,138,"1,349"
Boston,1,4,457,8,69,534
Boston,1,5,565,12,109,686
Boston,1,6,484,12,86,582
Boston,1,7,485,16,90,591
Boston,1,8,659,16,104,779
Boston,1,9,500,22,72,594
Boston,1,10,307,8,55,370
Boston,1,11,643,15,193,851
Boston,1,12,588,34,204,826
Boston,1,13,758,21,217,996
Boston,1,14,311,22,117,450
Boston,1,15,2,0,0,2
Boston,2,1,"1,122",42,294,"1,458"
Boston,2,2,"1,320",37,268,"1,625"
Boston,2,3,860,27,160,"1,047"
Boston,2,4,741,22,138,901
Boston,2,5,902,24,190,"1,116"
Boston,2,6,"1,006",34,242,"1,282"
Boston,2,7,852,28,199,"1,079"
Boston,3,7,"2,112",34,236,"2,382"
Boston,3,8,"2,409",65,536,"3,010"
Boston,4,1,"1,119",19,129,"1,267"
Boston,4,2,"1,493",37,298,"1,828"
Boston,4,3,762,8,83,853
Boston,4,4,"1,056",21,90,"1,167"
Boston,4,5,746,8,98,852
Boston,4,6,620,15,86,721
Boston,4,7,610,7,62,679
Boston,4,8,636,11,90,737
Boston,4,9,363,3,23,389
Boston,4,10,306,4,24,334
Boston,5,1,"1,996",46,426,"2,468"
Boston,5,2,837,10,69,916
Boston,5,2A,501,8,59,568
Boston,5,6,875,36,262,"1,173"
Boston,5,7,"1,120",44,236,"1,400"
Boston,5,8,"1,035",33,198,"1,266"
Boston,5,9,"1,405",37,227,"1,669"
Boston,5,10,820,20,108,948
Boston,7,10,486,10,61,557
Boston,8,1,625,9,59,693
Boston,8,2,"1,211",30,147,"1,388"
Boston,8,3,512,8,29,549
Boston,8,4,300,2,17,319
Boston,8,5,553,11,68,632
Boston,8,6,198,2,28,228
Boston,8,7,400,0,21,421
Boston,9,1,931,12,113,"1,056"
Boston,9,2,"1,269",13,99,"1,381"
Boston,9,3,"1,380",15,101,"1,496"
Boston,9,4,789,11,48,848
Boston,9,5,968,7,51,"1,026"
Boston,10,1,438,2,52,492
Boston,10,2,394,6,40,440
Boston,10,3,421,6,53,480
Boston,10,4,695,25,165,885
Boston,10,5,564,11,52,627
Boston,10,6,603,12,54,669
Boston,10,7,861,5,37,903
Boston,10,8,"1,075",17,79,"1,171"
Boston,10,9,"1,246",11,83,"1,340"
Boston,11,1,501,6,18,525
Boston,11,2,734,1,163,898
Boston,11,3,588,4,28,620
Boston,11,4,"1,046",12,65,"1,123"
Boston,11,5,820,10,50,880
Boston,11,6,766,5,52,823
Boston,11,7,971,6,65,"1,042"
Boston,11,8,"1,219",7,61,"1,287"
Boston,12,1,799,8,40,847
Boston,12,2,905,9,50,964
Boston,12,3,457,1,24,482
Boston,12,4,498,2,22,522
Boston,12,5,335,3,22,360
Boston,12,6,438,2,23,463
Boston,12,7,849,3,47,899
Boston,12,8,348,3,29,380
Boston,12,9,473,1,22,496
Boston,13,1,589,1,37,627
Boston,13,2,231,1,12,244
Boston,13,4,448,4,17,469
Boston,13,5,475,8,52,535
Boston,13,6,665,12,77,754
Boston,13,8,597,14,101,712
Boston,13,9,662,21,92,775
Boston,14,1,947,6,37,990
Boston,14,2,"1,032",6,49,"1,087"
Boston,14,3,485,1,25,511
Boston,14,4,563,3,23,589
Boston,14,5,413,2,35,450
Boston,14,6,450,3,25,478
Boston,14,7,462,2,18,482
Boston,14,8,582,4,25,611
Boston,14,9,455,3,32,490
Boston,14,10,528,9,38,575
Boston,14,11,499,6,35,540
Boston,14,12,311,1,22,334
Boston,14,13,473,4,25,502
Boston,14,14,546,3,40,589
Boston,15,1,604,5,48,657
Boston,15,2,395,6,21,422
Boston,15,3,267,5,19,291
Boston,15,4,797,16,78,891
Boston,15,5,518,3,22,543
Boston,15,6,263,20,97,380
Boston,15,7,440,7,43,490
Boston,15,8,372,10,65,447
Boston,15,9,405,4,75,484
Boston,16,1,431,14,78,523
Boston,16,3,652,12,90,754
Boston,16,4,564,17,88,669
Boston,16,6,788,11,154,953
Boston,16,8,748,33,157,938
Boston,16,11,736,22,201,959
Boston,17,1,482,4,35,521
Boston,17,2,396,1,26,423
Boston,17,3,863,11,55,929
Boston,17,4,967,13,94,"1,074"
Boston,17,5,371,7,19,397
Boston,17,6,661,9,29,699
Boston,17,7,350,8,13,371
Boston,17,8,615,6,29,650
Boston,17,9,548,10,38,596
Boston,17,10,721,5,40,766
Boston,17,11,287,3,21,311
Boston,17,12,527,5,40,572
Boston,17,13,687,16,118,821
Boston,17,14,731,13,79,823
Boston,18,1,"1,011",9,54,"1,074"
Boston,18,2,703,0,36,739
Boston,18,3,836,2,35,873
Boston,18,4,800,3,53,856
Boston,18,5,902,6,50,958
Boston,18,6,"1,125",18,69,"1,212"
Boston,18,7,791,12,71,874
Boston,18,8,"1,318",9,120,"1,447"
Boston,18,9,827,29,124,980
Boston,18,10,"1,224",17,209,"1,450"
Boston,18,11,688,6,85,779
Boston,18,12,793,42,131,966
Boston,18,13,479,5,58,542
Boston,18,14,483,6,37,526
Boston,18,15,761,10,68,839
Boston,18,16,829,35,245,"1,109"
Boston,18,17,789,22,101,912
Boston,18,18,982,23,157,"1,162"
Boston,18,19,"1,277",28,207,"1,512"
Boston,18,20,"1,052",27,284,"1,363"
Boston,18,21,959,2,39,"1,000"
Boston,18,22,877,26,222,"1,125"
Boston,18,23,703,6,54,763
Boston,19,7,"1,143",15,85,"1,243"
Boston,19,10,998,9,117,"1,124"
Boston,19,11,844,9,43,896
Boston,19,12,746,12,89,847
Boston,19,13,613,8,66,687
Boston,20,3,806,28,231,"1,065"
Boston,21,1,932,10,80,"1,022"
