election_id,office,district,status,filepath
131505,U.S. Senate,Statewide,ok,U.S._Senate/Statewide_131505.csv
131501,Governor,Statewide,ok,Governor/Statewide_131501.csv
131496,Attorney General,Statewide,ok,Attorney_General/Statewide_131496.csv
131504,Secretary of the Commonwealth,Statewide,ok,Secretary_of_the_Commonwealth/Statewide_131504.csv
131507,Treasurer,Statewide,ok,Treasurer/Statewide_131507.csv
131497,Auditor,Statewide,ok,Auditor/Statewide_131497.csv
131524,U.S. House,1st Congressional,ok,U.S._House/1st_Congressional_131524.csv
131540,U.S. House,2nd Congressional,ok,U.S._House/2nd_Congressional_131540.csv
131511,U.S. House,3rd Congressional,ok,U.S._House/3rd_Congressional_131511.csv
131568,U.S. House,4th Congressional,ok,U.S._House/4th_Congressional_131568.csv
131551,U.S. House,5th Congressional,ok,U.S._House/5th_Congressional_131551.csv
131535,U.S. House,6th Congressional,ok,U.S._House/6th_Congressional_131535.csv
131605,U.S. House,7th Congressional,ok,U.S._House/7th_Congressional_131605.csv
131502,U.S. House,8th Congressional,ok,U.S._House/8th_Congressional_131502.csv
131518,U.S. House,9th Congressional,ok,U.S._House/9th_Congressional_131518.csv
131516,Governor's Council,1st,ok,Governors_Council/1st_131516.csv
131564,Governor's Council,2nd,ok,Governors_Council/2nd_131564.csv
131509,Governor's Council,3rd,ok,Governors_Council/3rd_131509.csv
131499,Governor's Council,4th,ok,Governors_Council/4th_131499.csv
131533,Governor's Council,5th,ok,Governors_Council/5th_131533.csv
131603,Governor's Council,6th,ok,Governors_Council/6th_131603.csv
131556,Governor's Council,7th,ok,Governors_Council/7th_131556.csv
131522,Governor's Council,8th,ok,Governors_Council/8th_131522.csv
131526,State Senate,"Berkshire, Hampshire and Franklin",ok,State_Senate/Berkshire_Hampshire_and_Franklin_131526.csv
131571,State Senate,Bristol and Norfolk,ok,State_Senate/Bristol_and_Norfolk_131571.csv
131679,State Senate,1st Bristol and Plymouth,ok,State_Senate/1st_Bristol_and_Plymouth_131679.csv
131520,State Senate,2nd Bristol and Plymouth,ok,State_Senate/2nd_Bristol_and_Plymouth_131520.csv
131550,State Senate,Cape and Islands,ok,State_Senate/Cape_and_Islands_131550.csv
131537,State Senate,1st Essex,ok,State_Senate/1st_Essex_131537.csv
131597,State Senate,2nd Essex,ok,State_Senate/2nd_Essex_131597.csv
130513,State Senate,3rd Essex,ok,State_Senate/3rd_Essex_130513.csv
131708,State Senate,3rd Essex,ok,State_Senate/3rd_Essex_131708.csv
131631,State Senate,1st Essex and Middlesex,ok,State_Senate/1st_Essex_and_Middlesex_131631.csv
131545,State Senate,2nd Essex and Middlesex,ok,State_Senate/2nd_Essex_and_Middlesex_131545.csv
131656,State Senate,Hampden,ok,State_Senate/Hampden_131656.csv
131587,State Senate,1st Hampden and Hampshire,ok,State_Senate/1st_Hampden_and_Hampshire_131587.csv
131530,State Senate,2nd Hampden and Hampshire,ok,State_Senate/2nd_Hampden_and_Hampshire_131530.csv
131542,State Senate,"Hampshire, Franklin and Worcester",ok,State_Senate/Hampshire_Franklin_and_Worcester_131542.csv
131666,State Senate,1st Middlesex,ok,State_Senate/1st_Middlesex_131666.csv
131646,State Senate,2nd Middlesex,ok,State_Senate/2nd_Middlesex_131646.csv
131585,State Senate,3rd Middlesex,ok,State_Senate/3rd_Middlesex_131585.csv
131554,State Senate,4th Middlesex,ok,State_Senate/4th_Middlesex_131554.csv
131713,State Senate,5th Middlesex,ok,State_Senate/5th_Middlesex_131713.csv
131642,State Senate,1st Middlesex and Norfolk,ok,State_Senate/1st_Middlesex_and_Norfolk_131642.csv
131566,State Senate,2nd Middlesex and Norfolk,ok,State_Senate/2nd_Middlesex_and_Norfolk_131566.csv
131514,State Senate,Middlesex and Worcester,ok,State_Senate/Middlesex_and_Worcester_131514.csv
131625,State Senate,Middlesex and Suffolk,ok,State_Senate/Middlesex_and_Suffolk_131625.csv
131572,State Senate,"Norfolk, Bristol and Middlesex",ok,State_Senate/Norfolk_Bristol_and_Middlesex_131572.csv
131578,State Senate,"Norfolk, Bristol and Plymouth",ok,State_Senate/Norfolk_Bristol_and_Plymouth_131578.csv
131506,State Senate,Norfolk and Plymouth,ok,State_Senate/Norfolk_and_Plymouth_131506.csv
131626,State Senate,Norfolk and Suffolk,ok,State_Senate/Norfolk_and_Suffolk_131626.csv
131629,State Senate,Plymouth and Barnstable,ok,State_Senate/Plymouth_and_Barnstable_131629.csv
131658,State Senate,Plymouth and Norfolk,ok,State_Senate/Plymouth_and_Norfolk_131658.csv
131592,State Senate,1st Plymouth and Bristol,ok,State_Senate/1st_Plymouth_and_Bristol_131592.csv
