City/Town,Ward,Pct,"Jay D. Dipucchio","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Ashfield,-,1,906,0,324,"1,230"
Bernardston,-,1,946,0,439,"1,385"
Buckland,-,1,870,10,323,"1,203"
Charlemont,-,1,541,0,208,749
Colrain,-,1,772,1,239,"1,012"
Conway,-,1,982,1,325,"1,308"
Deerfield,-,1,"2,439",1,930,"3,370"
Erving,-,1,703,1,232,936
Gill,-,1,751,2,236,989
Greenfield,-,1,716,6,368,"1,090"
Greenfield,-,2,877,1,417,"1,295"
Greenfield,-,3,779,11,345,"1,135"
Greenfield,-,4,829,4,376,"1,209"
Greenfield,-,5,764,4,330,"1,098"
Greenfield,-,6,771,8,424,"1,203"
Greenfield,-,7,638,0,268,906
Greenfield,-,8,660,2,289,951
Greenfield,-,9,569,2,249,820
Hawley,-,1,170,0,61,231
Heath,-,1,337,0,133,470
Leverett,-,1,"1,037",1,352,"1,390"
Leyden,-,1,380,0,123,503
Monroe,-,1,41,0,19,60
Montague,-,1,797,3,256,"1,056"
Montague,-,2,601,4,235,840
Montague,-,3,601,5,184,790
Montague,-,4,641,6,205,852
Montague,-,5,483,7,144,634
Montague,-,6,576,0,177,753
"New Salem",-,1,473,0,208,681
Northfield,-,1,"1,267",2,600,"1,869"
Orange,-,1,"1,290",17,565,"1,872"
Orange,-,2,"1,347",18,579,"1,944"
Rowe,-,1,181,0,88,269
Shelburne,-,1,892,10,340,"1,242"
Shutesbury,-,1,977,0,362,"1,339"
Sunderland,-,1,"1,530",8,523,"2,061"
Warwick,-,1,381,0,145,526
Wendell,-,1,441,1,174,616
Whately,-,1,846,0,270,"1,116"
TOTALS,,,"30,802",136,"12,065","43,003"
