City/Town,Ward,Pct,"Thomas J. O'Brien","Carina Leeza Mompelas","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Abington,-,1,"1,084",605,0,171,"1,860"
Abington,-,2,"1,034",667,1,148,"1,850"
Abington,-,3,"1,052",638,0,163,"1,853"
Abington,-,4,"1,185",695,2,206,"2,088"
Abington,-,5,"1,197",697,2,188,"2,084"
Bridgewater,-,1,"1,438","1,083",2,409,"2,932"
Bridgewater,-,2,"1,203",862,0,353,"2,418"
Bridgewater,-,3,"1,550","1,154",0,427,"3,131"
Bridgewater,-,4,660,448,1,178,"1,287"
Bridgewater,-,5,391,223,0,109,723
Bridgewater,-,6,"1,119",553,0,250,"1,922"
Bridgewater,-,7,"1,247",730,1,312,"2,290"
Brockton,1,A,897,181,1,140,"1,219"
Brockton,1,B,"1,114",297,0,181,"1,592"
Brockton,1,C,966,283,0,141,"1,390"
Brockton,1,D,"1,279",500,0,219,"1,998"
Brockton,2,A,668,127,1,165,961
Brockton,2,B,635,108,0,109,852
Brockton,2,C,651,94,0,119,864
Brockton,2,D,935,217,1,152,"1,305"
Brockton,3,A,926,222,0,147,"1,295"
Brockton,3,B,828,162,0,166,"1,156"
Brockton,3,C,"1,167",429,0,181,"1,777"
Brockton,3,D,"1,194",433,0,183,"1,810"
Brockton,4,A,664,117,0,111,892
Brockton,4,B,"1,031",268,0,166,"1,465"
Brockton,4,C,985,340,2,166,"1,493"
Brockton,4,D,975,299,0,168,"1,442"
Brockton,5,A,920,188,1,156,"1,265"
Brockton,5,B,"1,075",345,0,162,"1,582"
Brockton,5,C,999,211,0,156,"1,366"
Brockton,5,D,"1,021",356,0,182,"1,559"
Brockton,6,A,896,216,0,122,"1,234"
Brockton,6,B,"1,200",432,2,154,"1,788"
Brockton,6,C,"1,094",302,1,137,"1,534"
Brockton,6,D,"1,062",439,1,149,"1,651"
Brockton,7,A,868,151,0,141,"1,160"
Brockton,7,B,"1,111",210,0,175,"1,496"
Brockton,7,C,974,196,0,156,"1,326"
Brockton,7,D,"1,021",304,0,157,"1,482"
Carver,-,1,"1,124",937,1,196,"2,258"
Carver,-,2,"1,167",852,2,181,"2,202"
Carver,-,3,"1,353",972,4,212,"2,541"
Duxbury,-,1,"1,258",693,2,190,"2,143"
Duxbury,-,2,"1,122",665,1,177,"1,965"
Duxbury,-,3,"1,153",585,2,142,"1,882"
Duxbury,-,4,"1,101",534,1,166,"1,802"
Duxbury,-,5,"1,086",583,2,148,"1,819"
Duxbury,-,6,973,543,1,171,"1,688"
