City/Town,Ward,Pct,"Eileen R. Duff","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Amesbury,-,1,"1,337",19,552,"1,908"
Amesbury,-,2,"1,323",17,386,"1,726"
Amesbury,-,3,"1,317",23,419,"1,759"
Amesbury,-,4,"1,118",27,360,"1,505"
Amesbury,-,5,"1,395",35,550,"1,980"
Amesbury,-,6,"1,175",19,390,"1,584"
Andover,-,1,"1,421",27,450,"1,898"
Andover,-,2,"1,779",51,799,"2,629"
Andover,-,3,"1,694",24,676,"2,394"
Andover,-,4,"1,654",40,785,"2,479"
Andover,-,5,"1,915",19,832,"2,766"
Andover,-,6,"1,697",25,796,"2,518"
Andover,-,7,"1,312",14,593,"1,919"
Andover,-,7A,387,8,141,536
Andover,-,8,"1,622",35,705,"2,362"
Andover,-,9,"1,644",42,714,"2,400"
Beverly,1,1,"1,403",0,492,"1,895"
Beverly,1,2,"1,591",1,554,"2,146"
Beverly,2,1,"1,678",0,417,"2,095"
Beverly,2,2,"1,690",0,448,"2,138"
Beverly,3,1,"1,477",0,352,"1,829"
Beverly,3,2,"1,427",0,448,"1,875"
Beverly,4,1,934,1,387,"1,322"
Beverly,4,2,"1,925",2,553,"2,480"
Beverly,5,1,"1,590",1,579,"2,170"
Beverly,5,2,"1,514",0,622,"2,136"
Beverly,6,1,"1,662",1,643,"2,306"
Beverly,6,2,"1,609",1,702,"2,312"
Boxford,-,1,"1,198",37,592,"1,827"
Boxford,-,2,"1,285",35,625,"1,945"
Boxford,-,3,"1,176",35,599,"1,810"
Danvers,-,1,"1,569",28,555,"2,152"
Danvers,-,2,"1,462",29,624,"2,115"
Danvers,-,3,"1,296",5,547,"1,848"
Danvers,-,4,"1,499",21,645,"2,165"
Danvers,-,5,"1,574",22,679,"2,275"
Danvers,-,6,"1,469",5,723,"2,197"
Danvers,-,7,"1,534",19,662,"2,215"
Danvers,-,8,"1,444",7,644,"2,095"
Dracut,-,1,"1,247",0,518,"1,765"
Dracut,-,2,"1,106",0,485,"1,591"
Dracut,-,3,"1,284",0,654,"1,938"
Dracut,-,4,"1,590",2,835,"2,427"
Dracut,-,5,"1,296",0,660,"1,956"
Dracut,-,6,"1,207",4,620,"1,831"
Dracut,-,6A,47,1,24,72
Dracut,-,7,"1,231",0,601,"1,832"
Dracut,-,8,"1,663",0,964,"2,627"
Dracut,-,9,"1,304",0,684,"1,988"
Dunstable,-,1,"1,382",0,821,"2,203"
Essex,-,1,"1,871",12,645,"2,528"
Georgetown,-,1,"1,401",46,661,"2,108"
Georgetown,-,2,"1,227",42,529,"1,798"
Georgetown,-,3,"1,160",34,515,"1,709"
Gloucester,1,1,"1,490",31,550,"2,071"
Gloucester,1,2,"1,292",32,445,"1,769"
Gloucester,2,1,"1,126",31,299,"1,456"
Gloucester,2,2,"1,023",22,305,"1,350"
Gloucester,3,1,"1,159",28,368,"1,555"
Gloucester,3,2,"1,170",29,392,"1,591"
Gloucester,4,1,"1,366",16,488,"1,870"
Gloucester,4,2,"1,698",23,506,"2,227"
