City/Town,Ward,Pct,"Terrence W. Kennedy","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,1,1,931,17,234,"1,182"
Boston,1,2,680,33,137,850
Boston,1,3,"1,764",32,369,"2,165"
Boston,1,4,740,9,146,895
Boston,1,5,813,18,209,"1,040"
Boston,1,6,704,18,162,884
Boston,1,7,739,22,178,939
Boston,1,8,959,27,230,"1,216"
Boston,1,9,687,13,142,842
Boston,1,10,470,13,114,597
Boston,1,11,760,20,292,"1,072"
Boston,1,12,784,25,288,"1,097"
Boston,1,13,"1,118",21,291,"1,430"
Boston,1,14,488,20,193,701
Boston,2,1,"1,303",20,432,"1,755"
Boston,2,2,"1,699",35,475,"2,209"
Boston,2,3,977,25,304,"1,306"
Boston,2,4,967,22,231,"1,220"
Boston,2,5,"1,086",28,267,"1,381"
Boston,2,6,"1,272",21,382,"1,675"
Boston,2,7,"1,243",26,287,"1,556"
Boston,3,1,"1,791",50,596,"2,437"
Boston,3,2,958,19,278,"1,255"
Boston,3,3,"1,042",17,305,"1,364"
Boston,3,4,"1,252",25,332,"1,609"
Boston,3,5,"2,182",33,587,"2,802"
Boston,3,6,"2,610",58,799,"3,467"
Boston,3,8,"3,142",56,"1,036","4,234"
Boston,5,1,"2,293",49,757,"3,099"
Boston,5,3,"1,051",16,316,"1,383"
Boston,5,4,"1,358",15,294,"1,667"
Boston,5,5,399,7,137,543
Boston,5,11,680,13,227,920
Boston,21,4,599,11,109,719
Boston,21,6,663,24,126,813
Boston,21,7,881,20,170,"1,071"
Boston,22,1,"1,177",27,294,"1,498"
Boston,22,2,"1,382",21,322,"1,725"
Boston,22,5,748,14,173,935
Cambridge,1,1,"1,809",23,342,"2,174"
Cambridge,1,2,"1,375",12,303,"1,690"
Cambridge,1,3,"1,528",11,316,"1,855"
Cambridge,2,1,"1,380",13,247,"1,640"
Cambridge,2,2,261,3,59,323
Cambridge,2,3,727,12,178,917
Cambridge,3,1,"1,456",14,321,"1,791"
Cambridge,3,2,869,8,137,"1,014"
Cambridge,3,2A,646,10,132,788
Cambridge,3,3,"1,316",9,253,"1,578"
Cambridge,4,1,"1,640",21,328,"1,989"
Cambridge,4,2,"1,653",14,360,"2,027"
Cambridge,4,3,569,2,106,677
Cambridge,5,1,"1,431",12,362,"1,805"
Cambridge,5,2,"1,548",22,344,"1,914"
Cambridge,5,3,"1,139",9,256,"1,404"
Cambridge,6,1,"1,639",10,322,"1,971"
Cambridge,6,2,"1,494",9,291,"1,794"
Cambridge,6,3,"1,627",13,333,"1,973"
Cambridge,7,1,"1,513",16,316,"1,845"
Cambridge,7,2,739,9,178,926
Cambridge,7,3,472,2,79,553
Cambridge,8,1,"1,079",13,207,"1,299"
Cambridge,8,2,"1,046",14,229,"1,289"
Cambridge,8,3,259,3,33,295
Cambridge,9,1,"1,822",10,420,"2,252"
Cambridge,9,2,"2,054",24,397,"2,475"
Cambridge,9,3,"1,581",13,353,"1,947"
Cambridge,10,1,"1,872",18,353,"2,243"
Cambridge,10,2,"1,726",18,381,"2,125"
Cambridge,10,3,"1,575",14,282,"1,871"
Cambridge,11,1,"2,062",6,277,"2,345"
Cambridge,11,2,"1,870",22,459,"2,351"
Cambridge,11,3,"1,526",17,356,"1,899"
Chelsea,1,1,446,0,144,590
Chelsea,1,2,296,0,82,378
Chelsea,1,3,372,0,106,478
Chelsea,1,4,362,0,94,456
Chelsea,2,1,"1,011",0,379,"1,390"
Chelsea,2,2,668,0,140,808
Chelsea,2,3,270,0,86,356
Chelsea,2,4,416,0,117,533
Chelsea,3,1,487,0,116,603
Chelsea,3,2,633,0,150,783
Chelsea,3,3,475,0,141,616
Chelsea,3,4,486,0,156,642
Chelsea,4,1,574,0,169,743
Chelsea,4,2,618,0,232,850
Chelsea,4,3,589,0,196,785
Chelsea,4,4,467,0,169,636
Everett,1,1,893,14,229,"1,136"
Everett,1,2,816,22,232,"1,070"
Everett,2,1,"1,018",27,226,"1,271"
Everett,2,2,813,30,194,"1,037"
Everett,3,1,"1,130",20,278,"1,428"
Everett,3,2,"1,000",17,221,"1,238"
Everett,4,1,"1,068",23,267,"1,358"
Everett,4,2,904,13,206,"1,123"
Everett,5,1,"1,023",20,227,"1,270"
Everett,5,2,940,21,188,"1,149"
Everett,6,1,"1,121",23,250,"1,394"
Everett,6,2,"1,153",16,250,"1,419"
Lynn,1,1,"1,293",49,618,"1,960"
Lynn,1,2,"1,458",43,622,"2,123"
Lynn,1,3,"1,310",49,408,"1,767"
Lynn,1,4,"1,314",31,357,"1,702"
Lynn,2,1,"1,443",41,518,"2,002"
Lynn,2,2,"1,001",32,196,"1,229"
Lynn,2,3,798,16,111,925
Lynn,2,4,730,15,113,858
Lynn,3,1,"1,188",22,303,"1,513"
Lynn,3,2,"1,028",35,189,"1,252"
Lynn,3,3,"1,034",31,243,"1,308"
Lynn,3,4,"1,212",25,261,"1,498"
Lynn,4,1,592,20,74,686
Lynn,4,2,678,19,103,800
Lynn,4,3,862,55,179,"1,096"
Lynn,4,4,"1,149",36,264,"1,449"
Lynn,5,1,"1,079",21,263,"1,363"
Lynn,5,2,605,15,94,714
Lynn,5,3,630,13,115,758
Lynn,5,4,"1,156",36,288,"1,480"
Lynn,6,1,762,27,180,969
Lynn,6,2,582,22,107,711
Lynn,6,3,826,33,166,"1,025"
Lynn,6,4,747,19,172,938
Lynn,7,1,"1,454",43,407,"1,904"
Lynn,7,2,"1,236",30,297,"1,563"
Lynn,7,3,890,34,190,"1,114"
Lynn,7,4,"1,056",38,225,"1,319"
Lynnfield,-,1,"1,428",27,657,"2,112"
Lynnfield,-,2,"1,550",16,612,"2,178"
Lynnfield,-,3,"1,328",12,586,"1,926"
Lynnfield,-,4,"1,417",18,749,"2,184"
Malden,1,1,"1,067",14,262,"1,343"
Malden,1,2,"1,197",26,418,"1,641"
Malden,2,1,"1,012",16,314,"1,342"
Malden,2,2,"1,126",28,396,"1,550"
Malden,3,1,"1,330",28,444,"1,802"
Malden,3,2,"1,435",23,548,"2,006"
Malden,4,1,"1,038",13,288,"1,339"
