City/Town,Ward,Pct,"Thomas C. Hoye, Jr","Melanie Patenaude Layden","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Acushnet,-,1,807,725,4,255,"1,791"
Acushnet,-,2,944,910,3,308,"2,165"
Acushnet,-,3,942,918,4,306,"2,170"
Attleboro,1,A,853,793,7,208,"1,861"
Attleboro,1,B,970,724,8,223,"1,925"
Attleboro,2,A,951,823,11,252,"2,037"
Attleboro,2,B,"1,077",900,9,309,"2,295"
Attleboro,3,A,"1,069",765,6,249,"2,089"
Attleboro,3,B,993,825,3,235,"2,056"
Attleboro,4,A,873,573,4,178,"1,628"
Attleboro,4,B,"1,189","1,135",1,295,"2,620"
Attleboro,5,A,706,403,9,124,"1,242"
Attleboro,5,B,958,765,4,224,"1,951"
Attleboro,6,A,871,772,7,250,"1,900"
Attleboro,6,B,"1,030",803,5,249,"2,087"
Berkley,-,1,64,900,7,"1,250","2,221"
Berkley,-,2,887,779,8,248,"1,922"
Dartmouth,-,1,"1,001",994,10,428,"2,433"
Dartmouth,-,2,733,536,5,215,"1,489"
Dartmouth,-,3,34,11,0,2,47
Dartmouth,-,4,"1,041",778,6,352,"2,177"
Dartmouth,-,5,"1,172",823,5,367,"2,367"
Dartmouth,-,6,969,606,2,257,"1,834"
Dartmouth,-,7,"1,135",753,3,376,"2,267"
Dartmouth,-,8,"1,416",746,3,467,"2,632"
Dartmouth,-,9,"1,376",881,1,475,"2,733"
Dighton,-,1,"1,090",848,1,274,"2,213"
Dighton,-,2,"1,265",935,8,322,"2,530"
Easton,-,1,676,469,2,234,"1,381"
Easton,-,2,"1,345",946,4,442,"2,737"
Easton,-,3,"1,185",888,2,321,"2,396"
Easton,-,4,"1,224",945,2,420,"2,591"
Easton,-,5,"1,419","1,044",1,467,"2,931"
Easton,-,6,"1,227",976,5,361,"2,569"
Fairhaven,-,1,830,557,5,258,"1,650"
Fairhaven,-,2,838,581,1,228,"1,648"
Fairhaven,-,3,619,510,4,182,"1,315"
Fairhaven,-,4,789,600,2,246,"1,637"
Fairhaven,-,5,728,721,7,296,"1,752"
Fairhaven,-,6,721,650,2,254,"1,627"
"Fall River",1,A,770,583,2,244,"1,599"
"Fall River",1,B,587,369,0,190,"1,146"
"Fall River",1,C,628,441,2,218,"1,289"
"Fall River",2,A,519,273,3,137,932
"Fall River",2,B,443,290,1,129,863
"Fall River",2,C,536,317,0,156,"1,009"
"Fall River",3,A,628,407,0,184,"1,219"
"Fall River",3,B,653,364,0,189,"1,206"
"Fall River",3,C,701,466,2,200,"1,369"
"Fall River",4,A,497,257,0,152,906
"Fall River",4,B,466,270,2,125,863
"Fall River",4,C,515,247,0,148,910
"Fall River",5,A,401,217,0,86,704
"Fall River",5,B,342,139,0,86,567
