City/Town,Ward,Pct,"John F. Merrigan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Ashfield,-,1,994,0,236,"1,230"
Bernardston,-,1,"1,026",0,359,"1,385"
Buckland,-,1,951,13,239,"1,203"
Charlemont,-,1,579,0,170,749
Colrain,-,1,797,2,213,"1,012"
Conway,-,1,"1,053",3,252,"1,308"
Deerfield,-,1,"2,617",4,749,"3,370"
Erving,-,1,716,7,213,936
Gill,-,1,794,2,193,989
Greenfield,-,1,784,5,301,"1,090"
Greenfield,-,2,974,2,319,"1,295"
Greenfield,-,3,863,13,259,"1,135"
Greenfield,-,4,932,8,269,"1,209"
Greenfield,-,5,862,3,233,"1,098"
Greenfield,-,6,856,6,341,"1,203"
Greenfield,-,7,681,0,225,906
Greenfield,-,8,715,8,228,951
Greenfield,-,9,618,3,199,820
Hawley,-,1,178,0,53,231
Heath,-,1,361,0,109,470
Leverett,-,1,"1,145",0,245,"1,390"
Leyden,-,1,392,0,111,503
Monroe,-,1,42,0,18,60
Montague,-,1,848,1,207,"1,056"
Montague,-,2,623,6,211,840
Montague,-,3,637,6,147,790
Montague,-,4,679,6,167,852
Montague,-,5,512,9,113,634
Montague,-,6,604,5,144,753
"New Salem",-,1,488,0,193,681
Northfield,-,1,"1,370",493,6,"1,869"
Orange,-,1,"1,289",36,547,"1,872"
Orange,-,2,"1,389",25,530,"1,944"
Rowe,-,1,184,0,85,269
Shelburne,-,1,958,12,272,"1,242"
Shutesbury,-,1,"1,103",0,236,"1,339"
Sunderland,-,1,"1,647",6,408,"2,061"
Warwick,-,1,410,0,116,526
Wendell,-,1,493,1,122,616
Whately,-,1,886,1,229,"1,116"
TOTALS,,,"33,050",686,"9,267","43,003"
