City/Town,Ward,Pct,"Rosemary A. Saccomani","Lori A. Landers-Carvalho","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Agawam,-,1,937,585,6,256,"1,784"
Agawam,-,2,"1,123",712,11,369,"2,215"
Agawam,-,3,"1,194",592,9,317,"2,112"
Agawam,-,4,903,538,2,285,"1,728"
Agawam,-,5,"1,171",700,3,376,"2,250"
Agawam,-,6,"1,013",605,8,317,"1,943"
Agawam,-,7,"1,076",642,6,318,"2,042"
Agawam,-,8,"1,146",693,7,342,"2,188"
Blandford,-,1,289,396,2,94,781
Brimfield,-,1,829,"1,077",3,440,"2,349"
Chester,-,1,261,399,1,88,749
Chicopee,1,A,762,561,7,193,"1,523"
Chicopee,1,B,927,647,1,274,"1,849"
Chicopee,2,A,538,316,9,139,"1,002"
Chicopee,2,B,827,613,6,265,"1,711"
Chicopee,3,A,694,484,8,215,"1,401"
Chicopee,3,B,590,392,9,161,"1,152"
Chicopee,4,A,673,453,7,193,"1,326"
Chicopee,4,B,674,423,4,180,"1,281"
Chicopee,5,A,755,522,4,202,"1,483"
Chicopee,5,B,660,506,5,176,"1,347"
Chicopee,6,AN,208,138,1,49,396
Chicopee,6,AS,404,319,3,171,897
Chicopee,6,BE,617,687,7,231,"1,542"
Chicopee,6,BW,146,144,1,55,346
Chicopee,7,A,567,334,5,180,"1,086"
Chicopee,7,B,692,409,6,175,"1,282"
Chicopee,8,A,742,575,4,230,"1,551"
Chicopee,8,B,659,498,5,218,"1,380"
Chicopee,9,A,757,558,7,207,"1,529"
Chicopee,9,B,835,722,9,276,"1,842"
"E. Longmeadow",-,1,947,"1,288",7,358,"2,600"
"E. Longmeadow",-,2,906,"1,120",2,326,"2,354"
"E. Longmeadow",-,3,917,"1,264",6,389,"2,576"
"E. Longmeadow",-,4,838,"1,354",8,441,"2,641"
Granville,-,1,416,479,0,107,"1,002"
Hampden,-,1,"1,180","1,851",1,343,"3,375"
Holland,-,1,561,723,9,265,"1,558"
Holyoke,1,A,396,96,0,159,651
Holyoke,1,B,478,139,0,186,803
Holyoke,2,A,468,161,0,146,775
Holyoke,2,B,435,93,0,171,699
Holyoke,3,A,715,285,1,239,"1,240"
Holyoke,3,B,812,391,0,280,"1,483"
Holyoke,4,A,403,126,0,131,660
Holyoke,4,B,607,202,0,233,"1,042"
Holyoke,5,A,910,662,1,378,"1,951"
Holyoke,5,B,732,342,1,251,"1,326"
Holyoke,6,A,672,233,0,189,"1,094"
Holyoke,6,B,819,313,0,239,"1,371"
Holyoke,7,A,"1,005",464,0,366,"1,835"
Holyoke,7,B,894,391,0,268,"1,553"
Longmeadow,-,A,"1,042",799,6,279,"2,126"
Longmeadow,-,B,939,702,5,282,"1,928"
Longmeadow,-,C,"1,001",883,7,357,"2,248"
Longmeadow,-,D,903,792,3,328,"2,026"
Longmeadow,-,E,"1,028",756,5,339,"2,128"
Ludlow,-,1,744,951,8,317,"2,020"
Ludlow,-,2,572,680,2,216,"1,470"
Ludlow,-,3,743,"1,189",4,335,"2,271"
Ludlow,-,4,707,910,3,278,"1,898"
Ludlow,-,5,567,697,4,235,"1,503"
Ludlow,-,6,793,"1,150",3,345,"2,291"
Monson,-,A,679,763,3,268,"1,713"
Monson,-,B,682,734,6,300,"1,722"
Monson,-,C,675,784,2,309,"1,770"
Montgomery,-,1,242,254,0,69,565
Palmer,-,1,624,672,3,302,"1,601"
Palmer,-,1A,87,99,0,34,220
Palmer,-,2,634,808,5,322,"1,769"
Palmer,-,3,609,550,4,228,"1,391"
Palmer,-,4,547,690,5,300,"1,542"
Russell,-,1,382,442,1,104,929
Southwick,-,1,836,895,5,410,"2,146"
Southwick,-,2,737,699,8,277,"1,721"
Southwick,-,3,866,723,6,306,"1,901"
Springfield,1,A,340,64,6,130,540
Springfield,1,B,464,119,4,143,730
Springfield,1,C,330,76,3,109,518
Springfield,1,D,394,92,6,127,619
Springfield,1,E,455,124,5,141,725
Springfield,1,F,391,78,5,155,629
Springfield,1,G,426,129,5,133,693
Springfield,1,H,458,100,7,135,700
Springfield,2,A,474,124,4,105,707
Springfield,2,B,665,204,0,186,"1,055"
Springfield,2,C,493,146,6,119,764
Springfield,2,D,649,238,6,131,"1,024"
Springfield,2,E,611,242,5,158,"1,016"
Springfield,2,F,722,220,7,167,"1,116"
Springfield,2,G,692,335,4,182,"1,213"
Springfield,2,H,630,241,4,164,"1,039"
Springfield,3,A,373,90,0,92,555
Springfield,3,B,333,78,8,106,525
Springfield,3,C,262,87,7,75,431
Springfield,3,D,400,97,4,111,612
Springfield,3,E,337,87,5,65,494
Springfield,3,F,354,110,5,107,576
Springfield,3,G,291,97,3,94,485
Springfield,3,H,427,112,5,128,672
Springfield,4,A,558,150,6,120,834
Springfield,4,B,542,135,4,125,806
Springfield,4,C,406,90,9,98,603
Springfield,4,D,483,97,4,90,674
Springfield,4,E,445,79,6,94,624
Springfield,4,F,167,29,1,32,229
Springfield,4,G,536,109,5,128,778
Springfield,4,H,517,76,4,103,700
Springfield,5,A,523,121,14,107,765
Springfield,5,B,713,202,6,125,"1,046"
Springfield,5,C,526,204,7,170,907
Springfield,5,D,694,411,3,187,"1,295"
Springfield,5,E,790,249,6,203,"1,248"
Springfield,5,F,708,255,5,185,"1,153"
Springfield,5,G,760,454,9,191,"1,414"
Springfield,5,H,525,284,3,146,958
Springfield,6,A,439,154,6,120,719
Springfield,6,B,663,242,8,191,"1,104"
Springfield,6,C,520,269,3,179,971
Springfield,6,D,622,446,4,226,"1,298"
Springfield,6,E,445,150,6,134,735
Springfield,6,F,513,191,5,93,802
Springfield,6,G,546,243,3,148,940
Springfield,6,H,549,358,4,168,"1,079"
Springfield,7,A,675,328,10,167,"1,180"
Springfield,7,B,739,454,2,234,"1,429"
Springfield,7,C,799,356,4,211,"1,370"
Springfield,7,D,633,418,4,186,"1,241"
Springfield,7,E,524,205,4,129,862
Springfield,7,F,706,426,7,197,"1,336"
Springfield,7,G,686,523,6,232,"1,447"
Springfield,7,H,326,155,2,130,613
Springfield,8,A,580,307,5,150,"1,042"
Springfield,8,B,633,248,6,160,"1,047"
Springfield,8,C,622,186,3,146,957
Springfield,8,D,364,128,4,98,594
Springfield,8,E,389,199,4,118,710
Springfield,8,F,607,271,6,155,"1,039"
Springfield,8,G,562,316,1,155,"1,034"
Springfield,8,H,617,213,5,125,960
Tolland,-,1,154,138,0,36,328
Wales,-,1,367,535,6,184,"1,092"
"W. Springfield",-,1,483,248,0,195,926
"W. Springfield",-,2,651,335,0,224,"1,210"
"W. Springfield",-,3,746,518,1,274,"1,539"
"W. Springfield",-,4,911,533,1,290,"1,735"
"W. Springfield",-,5,"1,086",828,6,383,"2,303"
"W. Springfield",-,6,"1,024",744,0,339,"2,107"
"W. Springfield",-,7,977,898,0,373,"2,248"
"W. Springfield",-,8,743,565,1,224,"1,533"
Westfield,1,A,904,830,5,396,"2,135"
Westfield,1,B,844,707,3,359,"1,913"
Westfield,2,A,590,333,2,202,"1,127"
Westfield,2,B,715,541,2,272,"1,530"
Westfield,3,A,539,367,4,192,"1,102"
Westfield,3,B,860,561,2,307,"1,730"
Westfield,4,A,312,260,3,112,687
Westfield,4,B,"1,021",831,6,454,"2,312"
Westfield,5,A,"1,111",852,3,373,"2,339"
Westfield,5,B,968,873,5,402,"2,248"
Westfield,6,A,811,814,4,386,"2,015"
Westfield,6,B,748,624,1,273,"1,646"
Wilbraham,-,A,922,"1,138",0,362,"2,422"
Wilbraham,-,B,896,"1,094",7,314,"2,311"
Wilbraham,-,C,846,"1,174",4,296,"2,320"
Wilbraham,-,D,880,"1,211",4,304,"2,399"
TOTALS,,,"108,151","76,412",688,"35,542","220,793"
