City/Town,Ward,Pct,"Tara Decristofaro","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acton,-,1,"1,634",4,629,"2,267"
Acton,-,2,"1,654",13,762,"2,429"
Acton,-,3,"1,578",32,691,"2,301"
Acton,-,4,"1,830",8,706,"2,544"
Acton,-,5,"1,711",16,661,"2,388"
Acton,-,6,"1,470",12,607,"2,089"
Arlington,-,1,720,5,344,"1,069"
Arlington,-,2,987,2,455,"1,444"
Arlington,-,3,"1,004",2,392,"1,398"
Arlington,-,4,924,7,387,"1,318"
Arlington,-,5,915,4,413,"1,332"
Arlington,-,6,873,2,414,"1,289"
Arlington,-,7,892,5,380,"1,277"
Arlington,-,8,992,4,485,"1,481"
Arlington,-,9,831,6,443,"1,280"
Arlington,-,10,960,1,496,"1,457"
Arlington,-,11,990,7,478,"1,475"
Arlington,-,12,"1,031",2,529,"1,562"
Arlington,-,13,866,5,529,"1,400"
Arlington,-,14,851,6,475,"1,332"
Arlington,-,15,992,7,504,"1,503"
Arlington,-,16,883,2,436,"1,321"
Arlington,-,17,902,6,364,"1,272"
Arlington,-,18,948,9,503,"1,460"
Arlington,-,19,946,5,458,"1,409"
Arlington,-,20,879,3,450,"1,332"
Arlington,-,21,923,7,418,"1,348"
Ashby,-,1,"1,295",0,737,"2,032"
Ashland,-,1,"1,305",0,696,"2,001"
Ashland,-,2,"1,451",0,734,"2,185"
Ashland,-,3,"1,374",0,655,"2,029"
Ashland,-,4,"1,289",0,708,"1,997"
Ashland,-,5,"1,586",0,766,"2,352"
Ayer,-,1,"1,347",36,805,"2,188"
Ayer,-,2,"1,576",17,872,"2,465"
Bedford,-,1,"1,603",34,751,"2,388"
Bedford,-,2,"1,417",21,740,"2,178"
Bedford,-,3,"1,451",17,818,"2,286"
Bedford,-,4,"1,315",22,713,"2,050"
Belmont,-,1,"1,280",11,668,"1,959"
Belmont,-,2,"1,310",11,800,"2,121"
Belmont,-,3,"1,187",11,677,"1,875"
Belmont,-,4,"1,148",8,502,"1,658"
Belmont,-,5,"1,245",6,596,"1,847"
Belmont,-,6,"1,266",6,642,"1,914"
Belmont,-,7,"1,394",6,559,"1,959"
Belmont,-,8,"1,368",5,786,"2,159"
Billerica,-,1,"1,459",22,830,"2,311"
Billerica,-,2,"1,391",30,843,"2,264"
Billerica,-,3,"1,414",32,824,"2,270"
Billerica,-,4,"1,179",31,717,"1,927"
Billerica,-,5,"1,389",49,954,"2,392"
Billerica,-,6,"1,384",32,883,"2,299"
Billerica,-,7,"1,331",23,764,"2,118"
Billerica,-,8,"1,425",20,958,"2,403"
Billerica,-,9,"1,354",39,845,"2,238"
Billerica,-,10,"1,437",31,871,"2,339"
Billerica,-,11,"1,376",23,818,"2,217"
Boxborough,-,1,"2,288",33,"1,119","3,440"
Burlington,-,1,"1,442",36,976,"2,454"
Burlington,-,2,"1,057",32,546,"1,635"
Burlington,-,3,"1,430",41,790,"2,261"
Burlington,-,4,"1,264",29,723,"2,016"
Burlington,-,5,"1,445",32,863,"2,340"
Burlington,-,6,"1,432",32,832,"2,296"
Burlington,-,7,"1,563",34,832,"2,429"
Cambridge,1,1,"1,622",16,536,"2,174"
Cambridge,1,2,"1,252",7,431,"1,690"
Cambridge,1,3,"1,387",6,462,"1,855"
Cambridge,2,1,"1,169",9,462,"1,640"
Cambridge,2,2,248,2,73,323
Cambridge,2,3,658,6,253,917
Cambridge,3,1,"1,307",11,473,"1,791"
Cambridge,3,2,769,6,239,"1,014"
Cambridge,3,2A,560,2,226,788
Cambridge,3,3,"1,157",10,411,"1,578"
Cambridge,4,1,"1,458",3,528,"1,989"
Cambridge,4,2,"1,497",4,526,"2,027"
Cambridge,4,3,521,2,154,677
Cambridge,5,1,"1,283",5,517,"1,805"
Cambridge,5,2,"1,351",6,557,"1,914"
Cambridge,5,3,"1,017",3,384,"1,404"
Cambridge,6,1,"1,471",6,494,"1,971"
Cambridge,6,2,"1,371",9,414,"1,794"
Cambridge,6,3,"1,431",8,534,"1,973"
Cambridge,7,1,"1,362",7,476,"1,845"
Cambridge,7,2,655,7,264,926
Cambridge,7,3,442,1,110,553
Cambridge,8,1,976,4,319,"1,299"
Cambridge,8,2,905,7,377,"1,289"
Cambridge,8,3,243,3,49,295
Cambridge,9,1,"1,520",4,728,"2,252"
Cambridge,9,2,"1,782",10,683,"2,475"
Cambridge,9,3,"1,359",9,579,"1,947"
Cambridge,10,1,"1,660",4,579,"2,243"
Cambridge,10,2,"1,518",7,600,"2,125"
Cambridge,10,3,"1,338",5,528,"1,871"
Cambridge,11,1,"1,746",5,594,"2,345"
Cambridge,11,2,"1,649",14,688,"2,351"
Cambridge,11,3,"1,342",10,547,"1,899"
Carlisle,-,1,"2,719",12,939,"3,670"
Chelmsford,-,1,"1,486",12,"1,005","2,503"
Chelmsford,-,2,"1,438",10,857,"2,305"
Chelmsford,-,3,"1,368",20,"1,045","2,433"
Chelmsford,-,4,"1,410",13,"1,007","2,430"
Chelmsford,-,5,"1,455",11,"1,057","2,523"
Chelmsford,-,6,"1,463",12,"1,075","2,550"
Chelmsford,-,7,"1,540",28,"1,052","2,620"
Chelmsford,-,8,"1,483",7,973,"2,463"
Chelmsford,-,9,"1,514",14,"1,131","2,659"
Concord,-,1,"1,541",8,816,"2,365"
Concord,-,2,"1,877",22,886,"2,785"
Concord,-,3,"1,608",15,952,"2,575"
Concord,-,4,"1,899",15,995,"2,909"
Concord,-,5,"1,194",6,557,"1,757"
Dracut,-,1,"1,159",0,606,"1,765"
Dracut,-,2,"1,038",0,553,"1,591"
Dracut,-,3,"1,214",0,724,"1,938"
Dracut,-,4,"1,435",1,991,"2,427"
Dracut,-,5,"1,230",0,726,"1,956"
Dracut,-,6,"1,133",1,697,"1,831"
Dracut,-,6A,44,1,27,72
Dracut,-,7,"1,169",1,662,"1,832"
Dracut,-,8,"1,574",0,"1,053","2,627"
Dracut,-,9,"1,240",0,748,"1,988"
Dunstable,-,1,"1,348",0,855,"2,203"
Everett,1,1,714,13,409,"1,136"
Everett,1,2,705,19,346,"1,070"
Everett,2,1,834,21,416,"1,271"
Everett,2,2,666,16,355,"1,037"
Everett,3,1,923,16,489,"1,428"
Everett,3,2,832,20,386,"1,238"
Everett,4,1,888,19,451,"1,358"
Everett,4,2,736,9,378,"1,123"
Everett,5,1,884,14,372,"1,270"
Everett,5,2,800,16,333,"1,149"
Everett,6,1,967,18,409,"1,394"
Everett,6,2,965,16,438,"1,419"
Framingham,-,1,"1,599",28,892,"2,519"
Framingham,-,2,"1,956",30,998,"2,984"
Framingham,-,3,"1,397",28,726,"2,151"
Framingham,-,4,"1,591",27,892,"2,510"
Framingham,-,5,"1,544",23,812,"2,379"
Framingham,-,6,"1,495",35,822,"2,352"
Framingham,-,7,"1,366",27,813,"2,206"
Framingham,-,8,"1,423",22,671,"2,116"
Framingham,-,9,"1,031",19,535,"1,585"
Framingham,-,10,901,22,375,"1,298"
Framingham,-,11,"1,574",24,954,"2,552"
Framingham,-,12,758,22,381,"1,161"
Framingham,-,13,989,23,527,"1,539"
Framingham,-,14,741,13,391,"1,145"
Framingham,-,15,825,19,395,"1,239"
Framingham,-,16,480,14,205,699
Framingham,-,17,512,7,193,712
Framingham,-,18,708,16,364,"1,088"
Groton,-,1,"1,620",10,904,"2,534"
Groton,-,2,"1,564",11,873,"2,448"
Groton,-,3,"1,458",8,908,"2,374"
Holliston,-,1,"1,622",33,939,"2,594"
Holliston,-,2,"1,583",28,822,"2,433"
Holliston,-,3,"1,605",25,816,"2,446"
Holliston,-,4,"1,391",32,771,"2,194"
Hopkinton,-,1,"1,874",17,"1,009","2,900"
Hopkinton,-,2,"1,623",13,940,"2,576"
Hopkinton,-,3,"1,500",20,881,"2,401"
Hopkinton,-,4,"1,611",15,851,"2,477"
Hudson,-,1,"1,093",4,660,"1,757"
Hudson,-,2,933,9,494,"1,436"
Hudson,-,3,"1,082",7,698,"1,787"
Hudson,-,4,"1,079",9,734,"1,822"
Hudson,-,5,"1,357",2,772,"2,131"
Hudson,-,6,852,17,472,"1,341"
Hudson,-,7,848,7,524,"1,379"
Lexington,-,1,"1,236",6,715,"1,957"
Lexington,-,2,"1,601",12,784,"2,397"
Lexington,-,3,"1,282",7,725,"2,014"
Lexington,-,4,"1,440",13,852,"2,305"
Lexington,-,5,"1,555",14,872,"2,441"
Lexington,-,6,"1,457",14,812,"2,283"
Lexington,-,7,"1,425",16,849,"2,290"
Lexington,-,8,"1,383",6,786,"2,175"
Lexington,-,9,"1,515",8,783,"2,306"
Lincoln,-,1,"1,656",11,909,"2,576"
Lincoln,-,2,"1,114",9,601,"1,724"
Littleton,-,1,"1,605",47,783,"2,435"
Littleton,-,2,"1,411",32,756,"2,199"
Littleton,-,3,"1,369",29,690,"2,088"
Lowell,1,1,682,8,310,"1,000"
Lowell,1,2,"1,258",6,881,"2,145"
Lowell,1,3,"1,202",6,644,"1,852"
Lowell,2,1,372,0,113,485
Lowell,2,2,668,0,275,943
Lowell,2,3,"1,220",4,401,"1,625"
Lowell,3,1,724,5,386,"1,115"
Lowell,3,2,627,1,306,934
Lowell,3,3,634,2,311,947
Lowell,4,1,817,2,397,"1,216"
Lowell,4,2,522,2,229,753
Lowell,4,3,661,1,279,941
Lowell,5,1,763,5,329,"1,097"
Lowell,5,2,667,1,234,902
Lowell,5,3,848,3,410,"1,261"
