City/Town,Ward,Pct,"Colleen Marie Brierley","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Avon,-,1,"1,905",10,808,"2,723"
Bellingham,-,1,"1,300",39,552,"1,891"
Bellingham,-,2,"1,443",31,685,"2,159"
Bellingham,-,3,"1,497",37,639,"2,173"
Bellingham,-,4,"1,086",23,474,"1,583"
Bellingham,-,4A,195,5,88,288
Bellingham,-,5,"1,280",35,524,"1,839"
Braintree,-,1A,"1,195",14,670,"1,879"
Braintree,-,1B,"1,143",20,604,"1,767"
Braintree,-,2A,"1,290",16,604,"1,910"
Braintree,-,2B,"1,174",31,676,"1,881"
Braintree,-,3A,"1,105",19,457,"1,581"
Braintree,-,3B,"1,186",13,506,"1,705"
Braintree,-,4A,"1,129",13,472,"1,614"
Braintree,-,4B,"1,202",21,486,"1,709"
Braintree,-,5A,"1,174",12,560,"1,746"
Braintree,-,5B,"1,406",16,647,"2,069"
Braintree,-,6A,"1,374",19,709,"2,102"
Braintree,-,6B,"1,360",18,612,"1,990"
Brookline,-,1,"1,425",4,428,"1,857"
Brookline,-,2,975,4,298,"1,277"
Brookline,-,3,"1,489",8,448,"1,945"
Brookline,-,4,"1,378",4,394,"1,776"
Brookline,-,5,"1,589",2,525,"2,116"
Brookline,-,6,"1,571",4,467,"2,042"
Brookline,-,7,"1,392",2,426,"1,820"
Brookline,-,8,"1,447",0,436,"1,883"
Brookline,-,9,"1,436",3,527,"1,966"
Brookline,-,10,"1,528",2,461,"1,991"
Brookline,-,11,"1,604",6,488,"2,098"
Brookline,-,12,"1,789",5,585,"2,379"
Brookline,-,13,"1,535",8,527,"2,070"
Brookline,-,14,"1,516",13,611,"2,140"
Brookline,-,15,"1,478",5,675,"2,158"
Brookline,-,16,"1,282",4,501,"1,787"
Canton,-,1,"1,591",10,630,"2,231"
Canton,-,2,"1,704",10,773,"2,487"
Canton,-,3,"1,634",1,729,"2,364"
Canton,-,4,"1,775",5,989,"2,769"
Canton,-,5,"1,672",14,759,"2,445"
Canton,-,6,"1,580",4,691,"2,275"
Cohasset,-,1,"1,876",16,839,"2,731"
Cohasset,-,2,"2,115",8,873,"2,996"
Dedham,-,1,"1,491",4,825,"2,320"
Dedham,-,2,"1,567",14,703,"2,284"
Dedham,-,3,"1,493",19,580,"2,092"
Dedham,-,4,"1,440",15,746,"2,201"
Dedham,-,5,"1,611",16,758,"2,385"
Dedham,-,6,"1,621",24,798,"2,443"
Dedham,-,7,"1,440",11,805,"2,256"
Dover,-,1,"2,630",59,"1,375","4,064"
Foxborough,-,1,"1,399",14,604,"2,017"
Foxborough,-,2,"1,560",9,813,"2,382"
Foxborough,-,3,"1,495",11,843,"2,349"
Foxborough,-,4,"1,590",13,791,"2,394"
Foxborough,-,5,"1,528",9,746,"2,283"
Franklin,-,1,"1,517",10,744,"2,271"
Franklin,-,2,"1,768",18,803,"2,589"
Franklin,-,3,"1,710",8,745,"2,463"
Franklin,-,4,"1,851",4,976,"2,831"
Franklin,-,5,"2,010",14,819,"2,843"
Franklin,-,6,"1,561",2,652,"2,215"
Franklin,-,7,"1,837",13,845,"2,695"
Franklin,-,8,"1,725",5,915,"2,645"
Holbrook,-,1,"1,133",14,412,"1,559"
Holbrook,-,2,"1,088",7,536,"1,631"
Holbrook,-,3,"1,101",7,452,"1,560"
Holbrook,-,4,"1,052",5,451,"1,508"
Medfield,-,1,"1,611",0,578,"2,189"
Medfield,-,2,"1,546",0,561,"2,107"
Medfield,-,3,"1,510",0,640,"2,150"
Medfield,-,4,"1,393",0,647,"2,040"
Medway,-,1,"1,340",30,634,"2,004"
Medway,-,2,"1,475",28,616,"2,119"
Medway,-,3,"1,514",37,597,"2,148"
