City/Town,Ward,Pct,"Patrick W. McDermott","Jerry P. McDermott","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Avon,-,1,"1,447",989,1,286,"2,723"
Bellingham,-,1,834,898,3,156,"1,891"
Bellingham,-,2,870,"1,071",3,215,"2,159"
Bellingham,-,3,"1,015",979,4,175,"2,173"
Bellingham,-,4,685,773,4,121,"1,583"
Bellingham,-,4A,116,152,0,20,288
Bellingham,-,5,745,923,6,165,"1,839"
Braintree,-,1A,916,783,2,178,"1,879"
Braintree,-,1B,882,721,1,163,"1,767"
Braintree,-,2A,"1,036",726,2,146,"1,910"
Braintree,-,2B,972,734,5,170,"1,881"
Braintree,-,3A,928,536,1,116,"1,581"
Braintree,-,3B,986,601,0,118,"1,705"
Braintree,-,4A,876,601,1,136,"1,614"
Braintree,-,4B,988,579,2,140,"1,709"
Braintree,-,5A,921,699,0,126,"1,746"
Braintree,-,5B,"1,070",816,0,183,"2,069"
Braintree,-,6A,"1,021",898,5,178,"2,102"
Braintree,-,6B,971,868,2,149,"1,990"
Brookline,-,1,"1,383",277,2,195,"1,857"
Brookline,-,2,928,198,1,150,"1,277"
Brookline,-,3,"1,439",294,0,212,"1,945"
Brookline,-,4,"1,288",319,0,169,"1,776"
Brookline,-,5,"1,587",292,3,234,"2,116"
Brookline,-,6,"1,541",277,2,222,"2,042"
Brookline,-,7,"1,341",287,0,192,"1,820"
Brookline,-,8,"1,468",225,0,190,"1,883"
Brookline,-,9,"1,458",269,1,238,"1,966"
Brookline,-,10,"1,476",321,2,192,"1,991"
Brookline,-,11,"1,566",290,2,240,"2,098"
Brookline,-,12,"1,695",415,2,267,"2,379"
Brookline,-,13,"1,452",360,7,251,"2,070"
Brookline,-,14,"1,407",490,1,242,"2,140"
Brookline,-,15,"1,261",631,1,265,"2,158"
Brookline,-,16,"1,179",428,3,177,"1,787"
Canton,-,1,"1,164",843,4,220,"2,231"
Canton,-,2,"1,331",878,3,275,"2,487"
Canton,-,3,"1,252",850,0,262,"2,364"
Canton,-,4,"1,232","1,240",0,297,"2,769"
Canton,-,5,"1,157","1,033",4,251,"2,445"
Canton,-,6,"1,157",855,2,261,"2,275"
Cohasset,-,1,"1,366","1,068",3,294,"2,731"
Cohasset,-,2,"1,563","1,146",5,282,"2,996"
Dedham,-,1,"1,213",785,0,322,"2,320"
Dedham,-,2,"1,185",882,4,213,"2,284"
Dedham,-,3,"1,175",703,2,212,"2,092"
Dedham,-,4,"1,164",800,5,232,"2,201"
Dedham,-,5,"1,223",994,5,163,"2,385"
Dedham,-,6,"1,309",920,6,208,"2,443"
Dedham,-,7,989,"1,031",5,231,"2,256"
Dover,-,1,"1,781","1,842",5,436,"4,064"
Foxborough,-,1,"1,013",836,2,166,"2,017"
Foxborough,-,2,"1,079","1,050",1,252,"2,382"
