City/Town,Ward,Pct,"William M. Straus","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Fairhaven,-,1,"1,179",19,452,"1,650"
Fairhaven,-,2,"1,201",26,421,"1,648"
Fairhaven,-,3,967,24,324,"1,315"
Fairhaven,-,4,"1,172",29,436,"1,637"
Fairhaven,-,5,"1,138",26,588,"1,752"
Fairhaven,-,6,"1,128",26,473,"1,627"
Marion,-,1,"2,663",35,"1,019","3,717"
Mattapoisett,-,1,"3,420",55,"1,266","4,741"
"New Bedford",3,A,476,15,107,598
"New Bedford",4,D,733,20,167,920
"New Bedford",4,E,733,21,187,941
Rochester,-,1,"2,487",15,"1,356","3,858"
TOTALS,,,"17,297",311,"6,796","24,404"
