City/Town,Ward,Pct,"John J. Lawn, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Newton,1,1,"1,138",31,342,"1,511"
Newton,1,4,"1,166",31,412,"1,609"
Waltham,4,2,373,6,112,491
Waltham,5,1,"1,398",24,398,"1,820"
Waltham,6,2,774,9,226,"1,009"
Waltham,7,2,469,7,148,624
Waltham,8,1,"1,260",24,281,"1,565"
Waltham,8,2,"1,293",22,321,"1,636"
Waltham,9,1,"1,094",22,228,"1,344"
Waltham,9,2,979,23,213,"1,215"
Watertown,-,10,"1,760",33,336,"2,129"
Watertown,-,11,"1,190",19,279,"1,488"
Watertown,-,12,"1,160",17,256,"1,433"
TOTALS,,,"14,054",268,"3,552","17,874"
