City/Town,Ward,Pct,"Edward F. Coppinger","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,20,1,947,14,319,"1,280"
Boston,20,5,"1,011",18,326,"1,355"
Boston,20,6,"1,103",19,327,"1,449"
Boston,20,7,718,7,169,894
Boston,20,10,"1,249",20,382,"1,651"
Boston,20,11,594,10,146,750
Boston,20,12,725,14,208,947
Boston,20,13,673,9,175,857
Boston,20,14,658,21,182,861
Boston,20,15,"1,130",24,345,"1,499"
Boston,20,16,"1,203",27,343,"1,573"
Boston,20,17,"1,318",24,401,"1,743"
Boston,20,18,658,17,182,857
Boston,20,19,684,14,227,925
Boston,20,20,"1,134",28,327,"1,489"
Brookline,-,14,"1,492",17,631,"2,140"
Brookline,-,15,"1,489",3,666,"2,158"
Brookline,-,16,"1,316",5,466,"1,787"
TOTALS,,,"18,102",291,"5,822","24,215"
