City/Town,Ward,Pct,"Brandy Fluker Oakley","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,16,8,865,26,265,"1,156"
Boston,16,11,792,14,345,"1,151"
Boston,17,4,"1,269",25,240,"1,534"
Boston,17,10,957,7,115,"1,079"
Boston,17,11,394,2,55,451
Boston,17,12,634,4,101,739
Boston,17,13,802,10,229,"1,041"
Boston,17,14,803,21,176,"1,000"
Boston,18,1,"1,222",13,164,"1,399"
Boston,18,2,932,8,95,"1,035"
Boston,18,3,"1,029",9,127,"1,165"
Boston,18,4,"1,094",9,136,"1,239"
Boston,18,5,"1,113",10,154,"1,277"
Boston,18,6,"1,320",1,190,"1,511"
Boston,18,21,"1,239",11,140,"1,390"
Milton,-,1,"1,480",8,317,"1,805"
Milton,-,2,"1,365",8,478,"1,851"
TOTALS,,,"17,310",186,"3,327","20,823"
