City/Town,Ward,Pct,"Marcos A. Devers","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lawrence,A,2,628,28,95,751
Lawrence,A,4,901,33,141,"1,075"
Lawrence,B,1,789,25,130,944
Lawrence,B,2,593,23,72,688
Lawrence,B,3,704,25,113,842
Lawrence,B,4,708,35,161,904
Lawrence,C,4,744,43,112,899
Lawrence,E,2,"1,141",36,304,"1,481"
Lawrence,E,3,764,39,132,935
Lawrence,E,4,830,38,166,"1,034"
Lawrence,F,2,708,22,82,812
Lawrence,F,3,918,48,118,"1,084"
Lawrence,F,4,823,26,136,985
TOTALS,,,"10,251",421,"1,762","12,434"
