City/Town,Ward,Pct,"Michael J. Moran","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,21,2,280,3,47,330
Boston,21,4,601,9,109,719
Boston,21,13,"1,094",31,428,"1,553"
Boston,21,14,660,9,111,780
Boston,21,16,962,27,267,"1,256"
Boston,22,1,"1,193",24,281,"1,498"
Boston,22,4,877,16,219,"1,112"
Boston,22,5,746,15,174,935
Boston,22,7,"1,019",19,205,"1,243"
Boston,22,8,725,23,192,940
Boston,22,11,707,10,173,890
Boston,22,12,673,13,161,847
Boston,22,13,610,10,127,747
Brookline,-,1,"1,444",6,407,"1,857"
TOTALS,,,"11,591",215,"2,901","14,707"
