City/Town,Ward,Pct,"Timothy R. Whelan","Josh Mason","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Barnstable,-,1,"1,420","1,233",0,149,"2,802"
Brewster,-,1,"1,335","1,091",0,120,"2,546"
Brewster,-,2,"1,260","1,103",0,128,"2,491"
Dennis,-,1,"1,223",872,1,95,"2,191"
Dennis,-,2,"1,261",872,0,98,"2,231"
Dennis,-,3,867,862,1,97,"1,827"
Dennis,-,4,"1,095",921,2,94,"2,112"
Dennis,-,5,"1,092",817,3,101,"2,013"
Yarmouth,-,1,"1,228","1,091",1,108,"2,428"
Yarmouth,-,2,"1,284","1,028",0,105,"2,417"
Yarmouth,-,3,925,857,1,93,"1,876"
Yarmouth,-,4,"1,151",908,1,88,"2,148"
Yarmouth,-,7,"1,482","1,140",2,106,"2,730"
TOTALS,,,"15,623","12,795",12,"1,382","29,812"
