City/Town,Ward,Pct,"Fred Jay Barrows","Brendan A. Roche","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Foxborough,-,1,"1,009",893,1,114,"2,017"
Foxborough,-,2,"1,269",911,0,202,"2,382"
Foxborough,-,3,"1,277",909,1,162,"2,349"
Foxborough,-,4,"1,280",922,2,190,"2,394"
Foxborough,-,5,"1,251",888,1,143,"2,283"
Mansfield,-,2,"1,326","1,080",3,145,"2,554"
Mansfield,-,3,"1,450","1,001",0,143,"2,594"
Mansfield,-,6,"1,029","1,134",3,140,"2,306"
Norton,-,3,"1,110",975,2,150,"2,237"
Norton,-,4,"1,341","1,027",5,192,"2,565"
Norton,-,5,750,528,3,107,"1,388"
TOTALS,,,"13,092","10,268",21,"1,688","25,069"
