City/Town,Ward,Pct,"James M. Kelcourse","Amber Hewett","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Amesbury,-,1,"1,060",803,0,45,"1,908"
Amesbury,-,2,918,767,3,38,"1,726"
Amesbury,-,3,881,827,1,50,"1,759"
Amesbury,-,4,786,667,1,51,"1,505"
Amesbury,-,5,"1,230",706,2,42,"1,980"
Amesbury,-,6,805,728,1,50,"1,584"
Newburyport,1,1,586,"1,009",0,40,"1,635"
Newburyport,2,1,666,"1,409",0,51,"2,126"
Newburyport,3,1,858,"1,267",0,61,"2,186"
Newburyport,4,1,997,"1,336",0,48,"2,381"
Newburyport,5,1,"1,052",840,0,60,"1,952"
Newburyport,6,1,"1,061",984,0,49,"2,094"
Newburyport,1,P,255,255,0,13,523
Salisbury,-,1,"1,117",822,1,76,"2,016"
Salisbury,-,2,"1,151",687,0,59,"1,897"
Salisbury,-,3,"1,114",507,2,60,"1,683"
TOTALS,,,"14,537","13,614",11,793,"28,955"
