City/Town,Ward,Pct,"Lindsay N. Sabadosa","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Hatfield,-,1,"1,812",20,491,"2,323"
Montgomery,-,1,353,1,211,565
Northampton,1,A,942,3,156,"1,101"
Northampton,1,B,"1,303",4,215,"1,522"
Northampton,2,A,"1,130",4,156,"1,290"
Northampton,2,B,798,1,89,888
Northampton,3,A,"1,207",6,190,"1,403"
Northampton,3,B,"1,151",8,176,"1,335"
Northampton,4,A,899,4,104,"1,007"
Northampton,4,B,"1,095",7,137,"1,239"
Northampton,5,A,"1,030",8,163,"1,201"
Northampton,5,B,"1,110",2,153,"1,265"
Northampton,6,A,"1,112",2,239,"1,353"
Northampton,6,B,"1,262",4,273,"1,539"
Northampton,7,A,"1,230",6,213,"1,449"
Northampton,7,B,"1,166",9,249,"1,424"
Southampton,-,1,"2,769",125,"1,327","4,221"
Westhampton,-,1,911,2,286,"1,199"
TOTALS,,,"21,280",216,"4,828","26,324"
