City/Town,Ward,Pct,"Sheila C. Harrington","Deborah L. Busser","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Ashby,-,1,"1,070",888,1,73,"2,032"
Ayer,-,1,931,"1,164",1,92,"2,188"
Dunstable,-,1,"1,089","1,005",0,109,"2,203"
Groton,-,1,"1,030","1,435",1,68,"2,534"
Groton,-,2,"1,106","1,243",3,96,"2,448"
Groton,-,3,"1,036","1,272",0,66,"2,374"
Pepperell,-,1,"1,324","1,056",2,109,"2,491"
Pepperell,-,2,"1,320","1,103",6,114,"2,543"
Pepperell,-,3,"1,281",971,2,64,"2,318"
Townsend,-,1,"1,019",724,0,70,"1,813"
Townsend,-,2,994,748,4,55,"1,801"
Townsend,-,3,"1,003",798,1,79,"1,881"
TOTALS,,,"13,203","12,407",21,995,"26,626"
