City/Town,Ward,Pct,"David M. Rogers","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Arlington,-,2,"1,138",1,305,"1,444"
Arlington,-,4,"1,061",7,250,"1,318"
Arlington,-,8,"1,201",5,275,"1,481"
Arlington,-,10,"1,170",2,285,"1,457"
Arlington,-,12,"1,255",8,299,"1,562"
Belmont,-,1,"1,502",11,446,"1,959"
Belmont,-,2,"1,538",11,572,"2,121"
Belmont,-,3,"1,415",10,450,"1,875"
Belmont,-,4,"1,288",7,363,"1,658"
Belmont,-,5,"1,439",8,400,"1,847"
Belmont,-,6,"1,509",12,393,"1,914"
Belmont,-,7,"1,567",7,385,"1,959"
Belmont,-,8,"1,563",7,589,"2,159"
Cambridge,11,1,"2,059",5,281,"2,345"
Cambridge,11,3,"1,594",9,296,"1,899"
TOTALS,,,"21,299",110,"5,589","26,998"
