City/Town,Ward,Pct,"Erika Uyterhoeven","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Somerville,2,2,"2,002",31,263,"2,296"
Somerville,2,3,"1,957",25,300,"2,282"
Somerville,3,1,"1,698",28,267,"1,993"
Somerville,3,2,"1,738",24,275,"2,037"
Somerville,3,3,"2,015",44,291,"2,350"
Somerville,5,1,"1,850",39,322,"2,211"
Somerville,5,2,"2,082",28,352,"2,462"
Somerville,5,3,"2,000",26,312,"2,338"
Somerville,6,1,"2,184",34,347,"2,565"
Somerville,6,2,"1,997",30,309,"2,336"
Somerville,6,3,"1,026",19,178,"1,223"
TOTALS,,,"20,549",328,"3,216","24,093"
