City/Town,Ward,Pct,"Kip A. Diggs","William L. Crocker, Jr.","Michael Luis Mecenas","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled
Barnstable,-,2,"1,196","1,054",87,2,68,"2,407"
Barnstable,-,3,"1,023",674,71,1,55,"1,824"
Barnstable,-,4,"1,178",890,59,2,59,"2,188"
Barnstable,-,5,"1,230","1,161",62,0,69,"2,522"
Barnstable,-,6,"1,165","1,097",79,0,64,"2,405"
Barnstable,-,7,"1,361","1,149",83,1,85,"2,679"
Barnstable,-,8,923,606,94,0,52,"1,675"
Barnstable,-,9,668,376,61,3,43,"1,151"
Barnstable,-,10,"1,083","1,020",77,3,63,"2,246"
Barnstable,-,13,892,635,67,0,59,"1,653"
Yarmouth,-,5,903,919,92,1,89,"2,004"
Yarmouth,-,6,859,926,74,0,100,"1,959"
TOTALS,,,"12,481","10,507",906,13,806,"24,713"
