City/Town,Ward,Pct,"Tackey Chan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Quincy,1,1,"1,187",18,318,"1,523"
Quincy,1,2,960,18,273,"1,251"
Quincy,1,3,"1,288",24,302,"1,614"
Quincy,1,4,"1,481",35,426,"1,942"
Quincy,1,5,"1,583",34,402,"2,019"
Quincy,3,1,"1,513",34,388,"1,935"
Quincy,3,2,"1,138",28,310,"1,476"
Quincy,4,2,"1,361",23,413,"1,797"
Quincy,4,4,"1,035",245,21,"1,301"
Quincy,5,1,"1,311",25,368,"1,704"
Quincy,5,3,"1,295",23,358,"1,676"
Quincy,5,4,988,27,294,"1,309"
Quincy,5,5,"1,185",28,330,"1,543"
TOTALS,,,"16,325",562,"4,203","21,090"
