City/Town,Ward,Pct,"Michael Seamus Day","Elizabeth R. Harrah","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Stoneham,-,1,"1,278",387,10,276,"1,951"
Stoneham,-,2,"1,512",434,10,308,"2,264"
Stoneham,-,3,"1,486",433,10,341,"2,270"
Stoneham,-,4,"1,133",411,9,294,"1,847"
Stoneham,-,5,"1,269",508,8,289,"2,074"
Stoneham,-,6,"1,312",473,5,294,"2,084"
Stoneham,-,7,"1,237",431,4,274,"1,946"
Winchester,-,1,"1,119",452,2,215,"1,788"
Winchester,-,2,947,414,6,204,"1,571"
Winchester,-,3,"1,247",447,3,204,"1,901"
Winchester,-,4,"1,081",533,3,274,"1,891"
Winchester,-,5,"1,009",551,5,256,"1,821"
Winchester,-,6,985,541,0,265,"1,791"
Winchester,-,7,"1,063",527,4,240,"1,834"
Winchester,-,8,801,379,3,192,"1,375"
TOTALS,,,"17,479","6,921",82,"3,926","28,408"
