City/Town,Ward,Pct,"Christine P. Barber","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Medford,4,1,869,10,180,"1,059"
Medford,4,2,"1,680",22,476,"2,178"
Medford,5,1,"1,699",14,376,"2,089"
Medford,5,2,"1,401",20,264,"1,685"
Medford,7,1,"1,048",15,237,"1,300"
Medford,8,2,"1,440",38,443,"1,921"
Somerville,4,1,"1,170",20,228,"1,418"
Somerville,4,2,"1,443",24,231,"1,698"
Somerville,4,3,"1,700",33,250,"1,983"
Somerville,7,1,"1,955",32,285,"2,272"
Somerville,7,2,"1,664",12,238,"1,914"
Somerville,7,3,"1,599",19,330,"1,948"
TOTALS,,,"17,668",259,"3,538","21,465"
