City/Town,Ward,Pct,"Tricia Farley-Bouvier","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Pittsfield,1,A,994,12,279,"1,285"
Pittsfield,2,A,737,4,179,920
Pittsfield,2,B,"1,267",14,402,"1,683"
Pittsfield,3,A,"1,382",19,429,"1,830"
Pittsfield,3,B,"1,400",17,500,"1,917"
Pittsfield,4,A,"1,429",14,413,"1,856"
Pittsfield,4,B,"1,535",15,589,"2,139"
Pittsfield,5,A,"1,180",9,357,"1,546"
Pittsfield,5,B,"1,280",12,426,"1,718"
Pittsfield,6,A,"1,280",6,358,"1,644"
Pittsfield,6,B,907,4,245,"1,156"
Pittsfield,7,A,809,7,239,"1,055"
Pittsfield,7,B,"1,249",11,418,"1,678"
TOTALS,,,"15,449",144,"4,834","20,427"
