City/Town,Ward,Pct,"Carol A. Doherty","Kelly A. Dooner","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Easton,-,6,"1,340","1,050",2,177,"2,569"
Taunton,1,A,874,482,1,85,"1,442"
Taunton,1,B,987,867,4,97,"1,955"
Taunton,2,A,765,295,0,62,"1,122"
Taunton,2,B,839,399,1,68,"1,307"
Taunton,3,A,911,542,3,97,"1,553"
Taunton,5,A,855,510,0,73,"1,438"
Taunton,5,B,839,452,2,74,"1,367"
Taunton,7,A,990,805,3,89,"1,887"
Taunton,7,B,994,"1,075",1,99,"2,169"
Taunton,8,A,"1,072",844,2,94,"2,012"
Taunton,8,B,"1,039",999,1,107,"2,146"
TOTALS,,,"11,505","8,320",20,"1,122","20,967"
