City/Town,Ward,Pct,"Andres X. Vargas","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Haverhill,1,1,756,26,207,989
Haverhill,1,2,"1,197",30,307,"1,534"
Haverhill,1,3,968,34,338,"1,340"
Haverhill,2,3,712,20,200,932
Haverhill,3,1,708,15,165,888
Haverhill,3,2,911,19,259,"1,189"
Haverhill,3,3,941,24,275,"1,240"
Haverhill,4,1,"1,146",42,523,"1,711"
Haverhill,4,2,"1,214",44,686,"1,944"
Haverhill,5,1,"1,204",36,484,"1,724"
Haverhill,5,3,"1,285",55,720,"2,060"
Haverhill,6,1,"1,101",52,435,"1,588"
Haverhill,6,2,"1,096",53,464,"1,613"
Haverhill,6,3,"1,256",39,541,"1,836"
TOTALS,,,"14,495",489,"5,604","20,588"
