City/Town,Ward,Pct,"Michael P. Kushmerek","Glenn C. Fossa","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Fitchburg,1,A,618,464,3,32,"1,117"
Fitchburg,1,B,756,539,0,40,"1,335"
Fitchburg,2,A,621,401,0,43,"1,065"
Fitchburg,2,B,793,693,0,63,"1,549"
Fitchburg,3,A,"1,036",966,5,60,"2,067"
Fitchburg,3,B,856,722,2,68,"1,648"
Fitchburg,4,A,373,289,0,32,694
Fitchburg,4,B,748,385,0,35,"1,168"
Fitchburg,5,A,970,"1,014",1,85,"2,070"
Fitchburg,5,B,541,315,2,33,891
Fitchburg,6,A,912,822,2,73,"1,809"
Fitchburg,6,B,709,448,1,43,"1,201"
Lunenburg,-,B,837,744,2,99,"1,682"
TOTALS,,,"9,770","7,802",18,706,"18,296"
