City/Town,Ward,Pct,"Sarah K. Peake","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Brewster,-,3,"1,834",21,602,"2,457"
Chatham,-,1,"3,564",60,"1,498","5,122"
Eastham,-,1,"3,235",54,828,"4,117"
Harwich,-,1,"1,746",45,691,"2,482"
Harwich,-,2,"1,740",36,627,"2,403"
Harwich,-,3,"1,782",46,595,"2,423"
Harwich,-,4,"1,690",49,470,"2,209"
Orleans,-,1,"3,600",37,"1,248","4,885"
Provincetown,-,1,"2,416",4,200,"2,620"
Truro,-,1,"1,491",8,269,"1,768"
Wellfleet,-,1,"2,112",24,396,"2,532"
TOTALS,,,"25,210",384,"7,424","33,018"
