City/Town,Ward,Pct,"Mark J. Cusack","Frank Herbert Collins","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Braintree,-,1A,"1,075",642,2,160,"1,879"
Braintree,-,1B,"1,001",634,3,129,"1,767"
Braintree,-,2A,"1,117",652,3,138,"1,910"
Braintree,-,2B,"1,086",636,5,154,"1,881"
Braintree,-,3A,952,504,1,124,"1,581"
Braintree,-,3B,"1,003",576,0,126,"1,705"
Braintree,-,4A,953,552,0,109,"1,614"
Braintree,-,4B,"1,067",510,0,132,"1,709"
Braintree,-,5A,"1,016",615,0,115,"1,746"
Braintree,-,5B,"1,214",698,6,151,"2,069"
Braintree,-,6A,"1,174",765,3,160,"2,102"
Braintree,-,6B,"1,145",714,3,128,"1,990"
Holbrook,-,1,972,450,0,137,"1,559"
Randolph,-,4,"1,146",242,2,131,"1,521"
TOTALS,,,"14,921","8,190",28,"1,894","25,033"
