City/Town,Ward,Pct,"David F. Decoste","Emmanuel J. Dockter","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Hanover,-,1,"1,200","1,224",0,84,"2,508"
Hanover,-,2,"1,156","1,258",1,75,"2,490"
Hanover,-,3,"1,029","1,213",0,57,"2,299"
Hanover,-,4,"1,122","1,228",1,71,"2,422"
Norwell,-,1,"1,290","1,044",3,75,"2,412"
Norwell,-,2,"1,396","1,097",2,92,"2,587"
Norwell,-,3,"1,234","1,131",2,80,"2,447"
Rockland,-,1,842,945,3,66,"1,856"
Rockland,-,2,875,887,0,103,"1,865"
Rockland,-,3,627,648,2,75,"1,352"
Rockland,-,4,745,715,3,68,"1,531"
Rockland,-,5,865,714,2,64,"1,645"
Rockland,-,6,897,809,2,85,"1,793"
TOTALS,,,"13,278","12,913",21,995,"27,207"
