City/Town,Ward,Pct,"Jerald A. Parisella","Euplio R. Marciano","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Beverly,1,1,"1,329",388,0,178,"1,895"
Beverly,1,2,"1,537",442,0,167,"2,146"
Beverly,2,1,"1,537",364,0,194,"2,095"
Beverly,2,2,"1,575",382,0,181,"2,138"
Beverly,3,1,"1,308",380,0,141,"1,829"
Beverly,3,2,"1,328",409,0,138,"1,875"
Beverly,4,1,974,207,1,140,"1,322"
Beverly,4,2,"1,929",350,0,201,"2,480"
Beverly,5,1,"1,588",388,0,194,"2,170"
Beverly,5,2,"1,540",385,0,211,"2,136"
Beverly,6,1,"1,644",386,1,275,"2,306"
Beverly,6,2,"1,621",445,0,246,"2,312"
TOTALS,,,"17,910","4,526",2,"2,266","24,704"
