City/Town,Ward,Pct,"Russell E. Holmes","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,14,2,"1,372",19,214,"1,605"
Boston,14,4,773,9,121,903
Boston,14,5,664,9,59,732
Boston,14,6,605,7,98,710
Boston,14,7,620,18,75,713
Boston,14,8,760,10,77,847
Boston,14,9,706,4,93,803
Boston,14,10,782,11,101,894
Boston,14,11,735,11,87,833
Boston,14,12,419,1,61,481
Boston,14,13,608,8,69,685
Boston,14,14,719,13,78,810
Boston,17,6,802,9,139,950
Boston,17,7,443,11,45,499
Boston,17,8,745,4,91,840
Boston,17,9,617,6,101,724
Boston,18,7,992,14,174,"1,180"
Boston,18,8,"1,671",17,277,"1,965"
Boston,19,12,768,8,209,985
TOTALS,,,"14,801",189,"2,169","17,159"
