City/Town,Ward,Pct,"Jacob R. Oliveira","James Chip Harrington","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Belchertown,-,B,"1,207","1,135",3,102,"2,447"
Belchertown,-,C,"1,206","1,148",1,151,"2,506"
Belchertown,-,D,"1,472",753,0,144,"2,369"
Chicopee,6,BE,650,836,2,54,"1,542"
Chicopee,6,BW,168,165,0,13,346
Ludlow,-,1,852,"1,112",3,53,"2,020"
Ludlow,-,2,729,686,3,52,"1,470"
Ludlow,-,3,828,"1,355",5,83,"2,271"
Ludlow,-,4,868,959,6,65,"1,898"
Ludlow,-,5,599,853,0,51,"1,503"
Ludlow,-,6,943,"1,278",4,66,"2,291"
Springfield,8,E,457,200,1,52,710
Springfield,8,F,677,274,5,83,"1,039"
Springfield,8,G,606,339,3,86,"1,034"
TOTALS,,,"11,262","11,093",36,"1,055","23,446"
