City/Town,Ward,Pct,"Alyson M. Sullivan","All Others",Blanks,"Total Votes Cast"
,,,Republican
Abington,-,1,"1,384",13,463,"1,860"
Abington,-,2,"1,411",8,431,"1,850"
Abington,-,3,"1,447",9,397,"1,853"
Abington,-,4,"1,555",6,527,"2,088"
Abington,-,5,"1,582",11,491,"2,084"
"E. Bridgewater",-,2,"1,546",13,609,"2,168"
"E. Bridgewater",-,3,"1,595",10,720,"2,325"
"E. Bridgewater",-,4,"1,456",6,664,"2,126"
Whitman,-,1,"1,783",22,634,"2,439"
Whitman,-,2,"1,600",32,499,"2,131"
Whitman,-,3,"1,538",18,520,"2,076"
Whitman,-,4,"1,472",25,536,"2,033"
TOTALS,,,"18,369",173,"6,491","25,033"
