City/Town,Ward,Pct,"Paul K. Frost","Terry Burke Dotson","All Others",Blanks,"Total Votes Cast"
,,,Republican,Unenrolled
Auburn,-,1,"1,422",605,6,138,"2,171"
Auburn,-,2,"1,465",540,7,111,"2,123"
Auburn,-,3,"1,377",603,7,150,"2,137"
Auburn,-,4,"1,261",512,6,112,"1,891"
Auburn,-,5,"1,282",542,8,107,"1,939"
Charlton,-,4,"1,117",669,3,174,"1,963"
Millbury,-,1,"1,061",804,2,148,"2,015"
Millbury,-,2,"1,290",819,1,149,"2,259"
Millbury,-,3,"1,046",793,7,139,"1,985"
Millbury,-,4,978,843,0,133,"1,954"
Oxford,-,2,"1,136",609,7,104,"1,856"
Oxford,-,3,"1,224",654,3,123,"2,004"
TOTALS,,,"14,659","7,993",57,"1,588","24,297"
