City/Town,Ward,Pct,"Lori A. Ehrlich","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lynn,3,4,"1,214",25,259,"1,498"
Lynn,4,4,"1,214",25,210,"1,449"
Marblehead,-,1,"1,894",27,567,"2,488"
Marblehead,-,2,"1,856",24,576,"2,456"
Marblehead,-,3,"1,716",14,482,"2,212"
Marblehead,-,4,"1,850",27,574,"2,451"
Marblehead,-,5,"1,811",27,505,"2,343"
Marblehead,-,6,"1,806",16,571,"2,393"
Swampscott,-,1,"1,102",11,432,"1,545"
Swampscott,-,2,"1,305",10,422,"1,737"
Swampscott,-,3,"1,090",15,292,"1,397"
Swampscott,-,4,"1,299",11,406,"1,716"
Swampscott,-,5,"1,116",14,423,"1,553"
Swampscott,-,6,"1,263",15,444,"1,722"
TOTALS,,,"20,536",261,"6,163","26,960"
