City/Town,Ward,Pct,"David K. Muradian, Jr","All Others",Blanks,"Total Votes Cast"
,,,Republican
Grafton,-,1,"1,674",31,521,"2,226"
Grafton,-,2,"1,753",30,558,"2,341"
Grafton,-,3,"1,777",29,595,"2,401"
Grafton,-,4,"1,618",16,498,"2,132"
Grafton,-,5,"1,767",17,647,"2,431"
Northbridge,-,1,"1,744",12,539,"2,295"
Northbridge,-,2,"1,763",13,568,"2,344"
Northbridge,-,3,"1,563",11,404,"1,978"
Northbridge,-,4,"2,038",13,636,"2,687"
Upton,-,1,"1,947",0,804,"2,751"
Upton,-,2,"1,884",2,691,"2,577"
TOTALS,,,"19,528",174,"6,461","26,163"
