City/Town,Ward,Pct,"Michael J. Rodrigues","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"Fall River",1,A,"1,149",7,443,"1,599"
"Fall River",1,B,840,0,306,"1,146"
"Fall River",1,C,936,6,347,"1,289"
"Fall River",2,A,719,6,207,932
"Fall River",2,B,646,6,211,863
"Fall River",2,C,665,5,339,"1,009"
"Fall River",3,A,911,0,308,"1,219"
"Fall River",3,B,898,0,308,"1,206"
"Fall River",3,C,"1,024",0,345,"1,369"
"Fall River",4,A,698,8,200,906
"Fall River",4,B,682,8,173,863
"Fall River",4,C,699,3,208,910
"Fall River",5,A,544,2,158,704
"Fall River",5,B,439,6,122,567
"Fall River",5,B1,95,0,30,125
"Fall River",5,C,662,0,180,842
"Fall River",6,A,"1,002",6,408,"1,416"
"Fall River",6,B,716,11,217,944
"Fall River",6,C,882,4,299,"1,185"
"Fall River",6,C1,25,0,6,31
"Fall River",7,A,904,14,327,"1,245"
"Fall River",7,B,739,5,253,997
"Fall River",7,C,965,2,263,"1,230"
"Fall River",8,A,833,0,277,"1,110"
"Fall River",8,B,"1,111",1,483,"1,595"
"Fall River",8,C,"1,280",5,493,"1,778"
"Fall River",9,A,"1,456",10,642,"2,108"
"Fall River",9,B,971,3,390,"1,364"
"Fall River",9,C,"1,236",0,412,"1,648"
Freetown,-,1,"1,212",64,558,"1,834"
Freetown,-,2,"1,191",46,619,"1,856"
Freetown,-,3,"1,174",36,633,"1,843"
Lakeville,-,1,"1,431",21,841,"2,293"
Lakeville,-,2,"1,418",42,909,"2,369"
Lakeville,-,3,"1,696",28,991,"2,715"
Rochester,-,1,"2,414",23,"1,421","3,858"
Somerset,-,1,"1,705",1,660,"2,366"
Somerset,-,2,"1,693",5,631,"2,329"
Somerset,-,3,"1,740",30,584,"2,354"
Somerset,-,4,"1,516",10,540,"2,066"
Somerset,-,5,"1,503",4,590,"2,097"
Swansea,-,1,"1,428",66,642,"2,136"
Swansea,-,2,"1,380",41,534,"1,955"
Swansea,-,3,"1,377",37,492,"1,906"
Swansea,-,4,"1,441",45,555,"2,041"
Swansea,-,5,"1,344",49,639,"2,032"
Westport,-,A,"1,501",37,492,"2,030"
Westport,-,B,"1,714",15,664,"2,393"
Westport,-,C,"1,432",46,439,"1,917"
Westport,-,D,"1,376",2,449,"1,827"
Westport,-,E,"1,792",26,641,"2,459"
TOTALS,,,"57,205",792,"22,879","80,876"
