City/Town,Ward,Pct,"Harriette L. Chandler","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boylston,-,1,"2,312",70,939,"3,321"
Clinton,-,3,"1,488",32,509,"2,029"
Clinton,-,4,"1,341",44,481,"1,866"
Holden,-,1,"1,695",28,742,"2,465"
Holden,-,2,"1,799",55,713,"2,567"
Holden,-,3,"1,645",40,586,"2,271"
Holden,-,4,"2,054",35,754,"2,843"
Holden,-,5,"1,881",24,685,"2,590"
Northborough,-,1,"1,876",37,536,"2,449"
Northborough,-,2,"1,789",52,523,"2,364"
Northborough,-,4,"1,828",54,623,"2,505"
Princeton,-,1,"1,830",32,729,"2,591"
"W. Boylston",-,1,"1,429",73,520,"2,022"
"W. Boylston",-,2,"2,014",11,799,"2,824"
Worcester,1,1,"1,750",61,535,"2,346"
Worcester,1,2,"1,800",55,576,"2,431"
Worcester,1,3,949,33,315,"1,297"
Worcester,1,4,"1,822",36,483,"2,341"
Worcester,1,5,"1,573",66,445,"2,084"
Worcester,2,1,"1,611",53,486,"2,150"
Worcester,2,2,"1,622",40,420,"2,082"
Worcester,2,3,"1,448",63,426,"1,937"
Worcester,2,4,"1,343",25,231,"1,599"
Worcester,2,5,671,18,125,814
Worcester,3,1,"1,191",23,318,"1,532"
Worcester,3,2,383,12,80,475
Worcester,3,3,"1,055",39,260,"1,354"
Worcester,3,4,853,31,144,"1,028"
Worcester,3,5,"1,229",39,276,"1,544"
Worcester,4,1,781,22,175,978
Worcester,4,2,"1,006",30,280,"1,316"
Worcester,4,3,"1,026",23,167,"1,216"
Worcester,4,4,"1,060",32,302,"1,394"
Worcester,4,5,"1,282",36,367,"1,685"
Worcester,8,2,645,27,137,809
Worcester,8,3,512,15,80,607
Worcester,8,4,806,38,205,"1,049"
Worcester,9,1,"1,420",28,323,"1,771"
Worcester,9,2,"1,601",44,435,"2,080"
Worcester,9,3,"1,194",36,292,"1,522"
Worcester,9,4,"1,579",41,473,"2,093"
Worcester,9,5,"1,612",59,471,"2,142"
Worcester,10,1,748,19,177,944
Worcester,10,2,832,13,147,992
Worcester,10,3,714,15,148,877
Worcester,10,4,601,18,144,763
Worcester,10,5,739,27,134,900
TOTALS,,,"62,439","1,704","18,716","82,859"
