City/Town,Ward,Pct,"Barry R. Finegold","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Andover,-,1,"1,438",33,427,"1,898"
Andover,-,2,"1,869",63,697,"2,629"
Andover,-,3,"1,770",34,590,"2,394"
Andover,-,4,"1,720",45,714,"2,479"
Andover,-,5,"1,960",15,791,"2,766"
Andover,-,6,"1,788",29,701,"2,518"
Andover,-,7,"1,367",17,535,"1,919"
Andover,-,7A,391,12,133,536
Andover,-,8,"1,691",39,632,"2,362"
Andover,-,9,"1,703",54,643,"2,400"
Dracut,-,1,"1,270",0,495,"1,765"
Dracut,-,2,"1,125",0,466,"1,591"
Dracut,-,3,"1,333",0,605,"1,938"
Dracut,-,4,"1,556",4,867,"2,427"
Dracut,-,5,"1,317",0,639,"1,956"
Dracut,-,6,"1,243",4,584,"1,831"
Dracut,-,6A,48,2,22,72
Dracut,-,7,"1,257",2,573,"1,832"
Dracut,-,8,"1,704",0,923,"2,627"
Dracut,-,9,"1,337",0,651,"1,988"
Lawrence,A,1,837,36,156,"1,029"
Lawrence,A,2,621,21,109,751
Lawrence,A,3,801,26,163,990
Lawrence,A,4,905,29,141,"1,075"
Lawrence,B,1,794,19,131,944
Lawrence,B,2,592,15,81,688
Lawrence,B,3,701,19,122,842
Lawrence,B,4,702,28,174,904
Lawrence,C,1,663,17,104,784
Lawrence,C,2,998,34,172,"1,204"
Lawrence,C,3,624,19,133,776
Lawrence,C,4,754,23,122,899
Lawrence,D,1,857,19,155,"1,031"
Lawrence,D,2,655,17,97,769
Lawrence,D,3,518,24,117,659
Lawrence,D,4,701,20,100,821
Lawrence,E,1,"1,129",34,330,"1,493"
Lawrence,E,2,"1,147",34,300,"1,481"
Lawrence,E,3,765,29,141,935
Lawrence,E,4,835,35,164,"1,034"
Lawrence,F,1,"1,083",23,271,"1,377"
Lawrence,F,2,722,15,75,812
Lawrence,F,3,928,29,127,"1,084"
Lawrence,F,4,828,26,131,985
Tewksbury,-,1,"1,478",63,627,"2,168"
Tewksbury,-,1A,"1,671",52,720,"2,443"
Tewksbury,-,2,"1,503",53,666,"2,222"
Tewksbury,-,2A,"1,406",53,656,"2,115"
Tewksbury,-,3,"1,781",67,772,"2,620"
Tewksbury,-,3A,"1,881",65,798,"2,744"
Tewksbury,-,4,"1,715",48,758,"2,521"
Tewksbury,-,4A,"1,694",45,671,"2,410"
TOTALS,,,"60,176","1,390","20,972","82,538"
