City/Town,Ward,Pct,"John C. Velis","John Francis Cain","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Agawam,-,1,124,133,0,0,257
Agawam,-,2,184,206,1,1,392
Agawam,-,3,185,143,0,0,328
Agawam,-,4,118,124,0,0,242
Agawam,-,5,165,179,0,0,344
Agawam,-,6,141,152,0,0,293
Agawam,-,7,173,240,2,0,415
Agawam,-,8,218,170,0,1,389
Chicopee,7,A,44,24,1,1,70
Chicopee,7,B,64,28,0,0,92
Chicopee,8,A,114,76,0,0,190
Chicopee,9,A,90,38,0,1,129
Easthampton,-,1,292,69,0,2,363
Easthampton,-,2,292,82,0,0,374
Easthampton,-,3,337,66,0,1,404
Easthampton,-,4,448,78,0,2,528
Easthampton,-,5,266,139,1,1,407
Granville,-,1,161,163,0,0,324
Holyoke,1,A,17,10,0,1,28
Holyoke,1,B,53,8,0,1,62
Holyoke,2,A,72,14,0,0,86
Holyoke,2,B,21,9,0,0,30
Holyoke,3,A,115,52,0,2,169
Holyoke,3,B,190,77,1,1,269
Holyoke,4,A,46,10,0,1,57
Holyoke,4,B,67,19,0,0,86
Holyoke,5,A,219,177,0,0,396
Holyoke,5,B,88,55,0,0,143
Holyoke,6,A,97,29,0,0,126
Holyoke,6,B,125,42,0,0,167
Holyoke,7,A,257,106,0,1,364
Holyoke,7,B,201,54,1,0,256
Montgomery,-,1,92,90,0,0,182
Russell,-,1,95,65,0,1,161
Southampton,-,1,534,322,0,0,856
Southwick,-,1,225,327,0,0,552
Southwick,-,2,132,214,0,0,346
Southwick,-,3,210,233,0,0,443
Tolland,-,1,25,56,0,0,81
Westfield,1,A,371,180,0,0,551
Westfield,1,B,346,116,0,0,462
Westfield,2,A,148,39,0,0,187
Westfield,2,B,276,107,0,0,383
Westfield,3,A,158,41,0,1,200
Westfield,3,B,393,120,0,0,513
Westfield,4,A,161,65,0,0,226
Westfield,4,B,536,222,0,0,758
Westfield,5,A,439,231,2,1,673
Westfield,5,B,420,197,0,1,618
Westfield,6,A,321,136,0,1,458
Westfield,6,B,223,87,1,0,311
TOTALS,,,"10,089","5,620",10,22,"15,741"
