City/Town,Ward,Pct,"Patricia D. Jehlen","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Cambridge,9,1,"1,879",8,365,"2,252"
Cambridge,9,2,"2,121",12,342,"2,475"
Cambridge,9,3,"1,643",7,297,"1,947"
Cambridge,10,1,"1,954",8,281,"2,243"
Cambridge,10,2,"1,830",5,290,"2,125"
Cambridge,10,3,"1,611",13,247,"1,871"
Cambridge,11,1,"2,064",10,271,"2,345"
Cambridge,11,2,"1,970",17,364,"2,351"
Cambridge,11,3,"1,606",7,286,"1,899"
Medford,1,1,"1,448",28,437,"1,913"
Medford,1,2,"1,582",33,410,"2,025"
Medford,2,1,"1,485",13,556,"2,054"
Medford,2,2,"1,616",28,623,"2,267"
Medford,3,1,"1,499",32,608,"2,139"
Medford,3,2,"1,686",35,648,"2,369"
Medford,4,1,876,8,175,"1,059"
Medford,4,2,"1,694",20,464,"2,178"
Medford,5,1,"1,702",10,377,"2,089"
Medford,5,2,"1,410",20,255,"1,685"
Medford,6,1,"1,997",28,418,"2,443"
Medford,6,2,"1,659",19,477,"2,155"
Medford,7,1,"1,058",10,232,"1,300"
Medford,7,2,"1,752",29,418,"2,199"
Medford,8,1,"1,742",34,505,"2,281"
Medford,8,2,"1,470",27,424,"1,921"
Somerville,1,1,"1,136",23,216,"1,375"
Somerville,1,2,"1,890",31,343,"2,264"
Somerville,1,3,"1,238",19,197,"1,454"
Somerville,2,1,"1,729",10,221,"1,960"
Somerville,2,2,"2,028",25,243,"2,296"
Somerville,2,3,"1,983",19,280,"2,282"
Somerville,3,1,"1,744",18,231,"1,993"
Somerville,3,2,"1,760",22,255,"2,037"
Somerville,3,3,"2,040",21,289,"2,350"
Somerville,4,1,"1,179",18,221,"1,418"
Somerville,4,2,"1,459",21,218,"1,698"
Somerville,4,3,"1,714",24,245,"1,983"
Somerville,5,1,"1,905",33,273,"2,211"
Somerville,5,2,"2,172",23,267,"2,462"
Somerville,5,3,"2,045",21,272,"2,338"
Somerville,6,1,"2,241",25,299,"2,565"
Somerville,6,2,"2,027",19,290,"2,336"
Somerville,6,3,"1,051",16,156,"1,223"
Somerville,7,1,"1,973",18,281,"2,272"
Somerville,7,2,"1,680",13,221,"1,914"
Somerville,7,3,"1,607",21,320,"1,948"
Winchester,-,4,"1,210",25,656,"1,891"
Winchester,-,5,"1,119",27,675,"1,821"
Winchester,-,6,"1,140",14,637,"1,791"
Winchester,-,7,"1,183",24,627,"1,834"
TOTALS,,,"82,607",991,"17,703","101,301"
