City/Town,Ward,Pct,"Karen E. Spilka","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Ashland,-,1,"1,570",0,431,"2,001"
Ashland,-,2,"1,780",0,405,"2,185"
Ashland,-,3,"1,647",0,382,"2,029"
Ashland,-,4,"1,564",0,433,"1,997"
Ashland,-,5,"1,936",0,416,"2,352"
Framingham,-,1,"1,949",36,534,"2,519"
Framingham,-,2,"2,321",40,623,"2,984"
Framingham,-,3,"1,737",36,378,"2,151"
Framingham,-,4,"1,940",32,538,"2,510"
Framingham,-,5,"1,866",35,478,"2,379"
Framingham,-,6,"1,822",48,482,"2,352"
Framingham,-,7,"1,722",41,443,"2,206"
Framingham,-,8,"1,710",27,379,"2,116"
Framingham,-,9,"1,249",29,307,"1,585"
Framingham,-,10,"1,066",24,208,"1,298"
Framingham,-,11,"1,972",29,551,"2,552"
Framingham,-,12,910,32,219,"1,161"
Framingham,-,13,"1,210",36,293,"1,539"
Framingham,-,14,934,19,192,"1,145"
Framingham,-,15,"1,016",18,205,"1,239"
Framingham,-,16,569,17,113,699
Framingham,-,17,633,5,74,712
Framingham,-,18,897,23,168,"1,088"
Franklin,-,5,"2,067",27,749,"2,843"
Franklin,-,6,"1,604",7,604,"2,215"
Franklin,-,8,"1,770",13,862,"2,645"
Holliston,-,1,"1,966",54,574,"2,594"
Holliston,-,2,"1,920",33,480,"2,433"
Holliston,-,3,"1,951",34,461,"2,446"
Holliston,-,4,"1,702",43,449,"2,194"
Hopkinton,-,1,"2,271",31,598,"2,900"
Hopkinton,-,2,"1,935",18,623,"2,576"
Hopkinton,-,3,"1,797",27,577,"2,401"
Hopkinton,-,4,"1,927",21,529,"2,477"
Medway,-,1,"1,395",45,564,"2,004"
Medway,-,2,"1,515",41,563,"2,119"
Medway,-,3,"1,534",48,566,"2,148"
Medway,-,4,"1,565",44,595,"2,204"
Natick,-,1,"1,141",5,292,"1,438"
Natick,-,2,"1,790",5,567,"2,362"
Natick,-,3,"1,687",6,541,"2,234"
Natick,-,4,"1,675",0,457,"2,132"
Natick,-,5,"1,620",17,555,"2,192"
Natick,-,8,"1,808",4,532,"2,344"
TOTALS,,,"70,660","1,050","19,990","91,700"
