City/Town,Ward,Pct,"Michael D. Brady","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Brockton,1,A,"1,037",3,179,"1,219"
Brockton,1,B,"1,279",10,303,"1,592"
Brockton,1,C,"1,124",0,266,"1,390"
Brockton,1,D,"1,559",0,439,"1,998"
Brockton,2,A,791,8,162,961
Brockton,2,B,741,0,111,852
Brockton,2,C,722,6,136,864
Brockton,2,D,"1,096",3,206,"1,305"
Brockton,3,A,"1,078",0,217,"1,295"
Brockton,3,B,966,2,188,"1,156"
Brockton,3,C,"1,443",6,328,"1,777"
Brockton,3,D,"1,420",1,389,"1,810"
Brockton,4,A,762,4,126,892
Brockton,4,B,"1,214",0,251,"1,465"
Brockton,4,C,"1,204",6,283,"1,493"
Brockton,4,D,"1,162",5,275,"1,442"
Brockton,5,A,"1,057",8,200,"1,265"
Brockton,5,B,"1,292",6,284,"1,582"
Brockton,5,C,"1,171",0,195,"1,366"
Brockton,5,D,"1,235",6,318,"1,559"
Brockton,6,A,"1,046",6,182,"1,234"
Brockton,6,B,"1,441",6,341,"1,788"
Brockton,6,C,"1,283",8,243,"1,534"
Brockton,6,D,"1,263",4,384,"1,651"
Brockton,7,A,992,3,165,"1,160"
Brockton,7,B,"1,256",2,238,"1,496"
Brockton,7,C,"1,117",2,207,"1,326"
Brockton,7,D,"1,199",5,278,"1,482"
"E. Bridgewater",-,1,"1,410",20,772,"2,202"
"E. Bridgewater",-,2,"1,384",17,767,"2,168"
"E. Bridgewater",-,3,"1,440",11,874,"2,325"
Easton,-,1,965,11,405,"1,381"
Easton,-,2,"1,812",19,906,"2,737"
Halifax,-,1,"1,645",47,854,"2,546"
Halifax,-,2,"1,586",36,725,"2,347"
Hanover,-,1,"1,599",24,885,"2,508"
Hanover,-,2,"1,652",22,816,"2,490"
Hanover,-,3,"1,541",21,737,"2,299"
Hanover,-,4,"1,609",28,785,"2,422"
Hanson,-,1,"1,515",16,769,"2,300"
Hanson,-,2,"1,598",28,686,"2,312"
Hanson,-,3,"1,452",19,716,"2,187"
Plympton,-,1,"1,266",7,661,"1,934"
Whitman,-,1,"1,748",26,665,"2,439"
Whitman,-,2,"1,460",50,621,"2,131"
Whitman,-,3,"1,454",27,595,"2,076"
Whitman,-,4,"1,431",20,582,"2,033"
TOTALS,,,"60,517",559,"20,715","81,791"
