City/Town,Ward,Pct,"Joanne M. Comerford","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Amherst,-,1,930,8,101,"1,039"
Amherst,-,2,"1,224",10,192,"1,426"
Amherst,-,3,472,2,60,534
Amherst,-,4,436,5,54,495
Amherst,-,5,988,3,158,"1,149"
Amherst,-,6,"1,537",12,217,"1,766"
Amherst,-,7,"1,516",14,210,"1,740"
Amherst,-,8,"1,694",10,229,"1,933"
Amherst,-,9,"1,087",6,165,"1,258"
Amherst,-,10,515,5,53,573
Bernardston,-,1,"1,036",0,349,"1,385"
Colrain,-,1,793,3,216,"1,012"
Deerfield,-,1,"2,714",9,647,"3,370"
Erving,-,1,705,7,224,936
Gill,-,1,783,5,201,989
Greenfield,-,1,808,7,275,"1,090"
Greenfield,-,2,996,2,297,"1,295"
Greenfield,-,3,884,10,241,"1,135"
Greenfield,-,4,958,19,232,"1,209"
Greenfield,-,5,906,3,189,"1,098"
Greenfield,-,6,932,6,265,"1,203"
Greenfield,-,7,695,0,211,906
Greenfield,-,8,757,5,189,951
Greenfield,-,9,646,2,172,820
Hadley,-,1,"2,796",11,708,"3,515"
Hatfield,-,1,"1,849",16,458,"2,323"
Leverett,-,1,"1,202",2,186,"1,390"
Leyden,-,1,390,1,112,503
Montague,-,1,910,2,144,"1,056"
Montague,-,2,648,10,182,840
Montague,-,3,637,6,147,790
Montague,-,4,696,8,148,852
Montague,-,5,552,10,72,634
Montague,-,6,611,6,136,753
"New Salem",-,1,505,0,176,681
Northampton,1,A,939,4,158,"1,101"
Northampton,1,B,"1,318",4,200,"1,522"
Northampton,2,A,"1,148",4,138,"1,290"
Northampton,2,B,801,0,87,888
Northampton,3,A,"1,218",10,175,"1,403"
Northampton,3,B,"1,153",9,173,"1,335"
Northampton,4,A,904,4,99,"1,007"
Northampton,4,B,"1,101",6,132,"1,239"
Northampton,5,A,"1,031",11,159,"1,201"
Northampton,5,B,"1,118",3,144,"1,265"
Northampton,6,A,"1,115",3,235,"1,353"
Northampton,6,B,"1,264",5,270,"1,539"
Northampton,7,A,"1,242",5,202,"1,449"
Northampton,7,B,"1,182",8,234,"1,424"
Northfield,-,1,"1,399",23,447,"1,869"
Orange,-,1,"1,310",40,522,"1,872"
Orange,-,2,"1,433",34,477,"1,944"
Pelham,-,1,811,5,114,930
Royalston,-,1,329,2,140,471
Royalston,-,2,200,4,112,316
Shutesbury,-,1,"1,152",0,187,"1,339"
"S. Hadley",-,A,"1,599",53,433,"2,085"
"S. Hadley",-,B,"1,652",38,525,"2,215"
"S. Hadley",-,C,"1,582",44,607,"2,233"
"S. Hadley",-,D,990,16,301,"1,307"
"S. Hadley",-,E,"1,642",40,580,"2,262"
Sunderland,-,1,"1,747",7,307,"2,061"
Warwick,-,1,417,1,108,526
Wendell,-,1,505,0,111,616
Whately,-,1,891,2,223,"1,116"
TOTALS,,,"68,001",610,"15,216","83,827"
