City/Town,Ward,Pct,"Rebecca L. Rausch","Matthew T. Kelly","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Attleboro,1,A,952,801,5,103,"1,861"
Attleboro,1,B,972,839,6,108,"1,925"
Attleboro,2,A,"1,079",851,1,106,"2,037"
Attleboro,2,B,"1,171",979,5,140,"2,295"
Attleboro,3,A,"1,189",775,3,122,"2,089"
Franklin,-,1,"1,087","1,051",3,130,"2,271"
Franklin,-,2,"1,230","1,225",2,132,"2,589"
Franklin,-,3,"1,213","1,116",11,123,"2,463"
Franklin,-,4,"1,312","1,376",1,142,"2,831"
Franklin,-,7,"1,371","1,175",5,144,"2,695"
Millis,-,1,"1,020",740,0,74,"1,834"
Millis,-,2,943,800,0,108,"1,851"
Millis,-,3,"1,065",834,0,93,"1,992"
Natick,-,6,"1,438",608,0,120,"2,166"
Natick,-,7,"1,606",557,4,104,"2,271"
Natick,-,9,"1,525",497,0,132,"2,154"
Natick,-,10,"1,757",728,0,164,"2,649"
Needham,-,A,"1,273",433,3,107,"1,816"
Needham,-,B,"1,392",539,2,113,"2,046"
Needham,-,C,"1,317",474,3,126,"1,920"
Needham,-,I,"1,535",416,3,109,"2,063"
Needham,-,J,"1,608",439,2,160,"2,209"
Norfolk,-,1,733,697,0,85,"1,515"
Norfolk,-,2,"1,473","1,306",1,148,"2,928"
Norfolk,-,3,"1,209","1,149",0,103,"2,461"
"N. Attleborough",-,1,876,641,0,83,"1,600"
"N. Attleborough",-,2,"1,015",854,0,97,"1,966"
"N. Attleborough",-,3,915,"1,002",0,105,"2,022"
"N. Attleborough",-,4,894,636,1,85,"1,616"
"N. Attleborough",-,5,913,792,0,114,"1,819"
"N. Attleborough",-,6,"1,072",909,0,134,"2,115"
"N. Attleborough",-,7,"1,005","1,027",1,113,"2,146"
"N. Attleborough",-,8,950,985,0,102,"2,037"
"N. Attleborough",-,9,916,935,0,128,"1,979"
Plainville,-,1,948,940,1,110,"1,999"
Plainville,-,2,943,912,0,119,"1,974"
Plainville,-,3,850,952,2,100,"1,904"
Sherborn,-,1,"2,005",821,0,165,"2,991"
Wayland,-,1,"1,696",552,3,113,"2,364"
Wayland,-,2,"1,601",546,1,148,"2,296"
Wayland,-,3,"1,526",507,1,108,"2,142"
Wayland,-,4,"1,746",647,5,190,"2,588"
Wellesley,-,B,"1,735",614,0,150,"2,499"
Wellesley,-,F,911,404,0,94,"1,409"
Wellesley,-,G,827,229,2,74,"1,132"
Wrentham,-,1,"1,203","1,309",1,136,"2,649"
Wrentham,-,2,"1,089","1,384",1,115,"2,589"
Wrentham,-,3,"1,214","1,287",1,117,"2,619"
TOTALS,,,"58,320","39,290",80,"5,696","103,386"
